object_id,title,period,type,material,description,dimensions,museum,location,detail_url,image_url,image_path,credit_line,accession_number,crawl_date,_culture,_findspot,_object_name_detail,_image_valid
"1913,0721.7",aeolipile,1900,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_1913-0721-7,,,Found/Acquired: Tibet,"1913,0721.7",2026-05-27,,Found/Acquired: Tibet,aeolipile,False
"1936,1007.3",aeolipile,,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_1936-1007-3,,,Found/Acquired: Tibet,"1936,1007.3",2026-05-27,,Found/Acquired: Tibet,aeolipile,False
"1905,0518.75.a-b",akor,19thC,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_1905-0518-75-a-b,https://media.britishmuseum.org/Repository/Documents/2014_11/12_11/751bd836_b703_4f26_bd16_a3e100bfcb9c/large_00100519_001.jpg,,Found/Acquired: Tibet,"1905,0518.75.a-b",2026-05-27,,Found/Acquired: Tibet,akor,
Franks.807,albarello,1621,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_Franks-807,https://media.britishmuseum.org/Repository/Documents/2014_10/4_21/dc8cd806_9bb9_4892_856f_a3ba01619af2/large_00264110_001.jpg,,Found/Acquired: China,Franks.807,2026-05-27,,Found/Acquired: China,albarello,
"1962,1231,0.5.1-28",album / painting,1820,painting,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_1962-1231-0-5-1-28,https://media.britishmuseum.org/Repository/Documents/2014_10/11_17/7931769f_a5cc_404a_a68f_a3c10122f912/large_00681380_001.jpg,,,"1962,1231,0.5.1-28",2026-05-27,,,album / painting,
"1869,0508,0.1",album / painting,,painting,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_1869-0508-0-1,,,,"1869,0508,0.1",2026-05-27,,,album / painting,False
"1948,0710,0.34.16",album / drawing / painting,19thC,painting,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_1948-0710-0-34-16,https://media.britishmuseum.org/Repository/Documents/2014_10/11_22/ca2e2c89_8510_4a91_9c32_a3c1017399b5/large_00710462_001.jpg,,,"1948,0710,0.34.16",2026-05-27,,,album / drawing / painting,
"1934,0512,0.1.1-16",print / album,,album,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_1934-0512-0-1-1-16,https://media.britishmuseum.org/Repository/Documents/2024_9/3_8/65a92e11_3c4b_49be_b221_b1e00089df62/large_1934_0512_0_1_1_16_2.jpg,,Found/Acquired: China,"1934,0512,0.1.1-16",2026-05-27,,Found/Acquired: China,print / album,
"1986,0313,0.1.137",photographic print / album,March 1937,album,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_1986-0313-0-1-137,https://media.britishmuseum.org/Repository/Documents/2014_10/11_10/2661933a_41a5_4c68_88ee_a3c100aff110/large_00631037_001.jpg,,,"1986,0313,0.1.137",2026-05-27,,,photographic print / album,
"1986,0313,0.1.208",photographic print / album,1936-1937,album,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_1986-0313-0-1-208,,,,"1986,0313,0.1.208",2026-05-27,,,photographic print / album,False
