object_id,title,period,type,material,description,dimensions,museum,location,detail_url,image_url,image_path,credit_line,accession_number,crawl_date,_culture,_findspot,_object_name_detail,_image_valid
"2015,4055.1",admission-ticket,1980-1990,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/C_2015-4055-1,,,Found/Acquired: Beijing (city),"2015,4055.1",2026-05-27,,Found/Acquired: Beijing (city),admission-ticket,False
"2014,4034.8",souvenir / admission-ticket,1980s,admission-ticket,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/C_2014-4034-8,https://media.britishmuseum.org/Repository/Documents/2014_11/10_19/d9be790b_940a_4cb8_afac_a3df013cfc26/large_01540203_001.jpg,,Found/Acquired: China,"2014,4034.8",2026-05-27,,Found/Acquired: China,souvenir / admission-ticket,
"2015,4094.1",admission-ticket,1999,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/C_2015-4094-1,,,Found/Acquired: Beijing (city),"2015,4094.1",2026-05-27,,Found/Acquired: Beijing (city),admission-ticket,False
"2009,4182.4",admission-ticket,1991,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/C_2009-4182-4,,,,"2009,4182.4",2026-05-27,,,admission-ticket,False
"2015,4094.2",admission-ticket,1999,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/C_2015-4094-2,,,Found/Acquired: Beijing (city),"2015,4094.2",2026-05-27,,Found/Acquired: Beijing (city),admission-ticket,False
"1993,0813,0.1",calendar / new year-print / advertisement,1930,advertisement,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_1993-0813-0-1,https://media.britishmuseum.org/Repository/Documents/2014_10/4_18/c610b492_8806_4fe5_a6d4_a3ba012a9592/large_00248024_001.jpg,,Found/Acquired: China,"1993,0813,0.1",2026-05-27,,Found/Acquired: China,calendar / new year-print / advertisement,
"1991,0219,0.11.1-3",new year-print / calligraphy / advertisement,1980-1989,advertisement,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_1991-0219-0-11-1-3,,,Found/Acquired: China,"1991,0219,0.11.1-3",2026-05-27,,Found/Acquired: China,new year-print / calligraphy / advertisement,False
"1986,0319,0.44",decorated paper / advertisement,,advertisement,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_1986-0319-0-44,,,Found/Acquired: China,"1986,0319,0.44",2026-05-27,,Found/Acquired: China,decorated paper / advertisement,False
"As1906,1226.29",adze,,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_As1906-1226-29,,,Found/Acquired: Tibet,"As1906,1226.29",2026-05-27,,Found/Acquired: Tibet,adze,False
"1979,1012.4",adze,,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_1979-1012-4,,,Found/Acquired: Swabue,"1979,1012.4",2026-05-27,,Found/Acquired: Swabue,adze,False
"1979,1012.1",adze,,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_1979-1012-1,,,Found/Acquired: Swabue,"1979,1012.1",2026-05-27,,Found/Acquired: Swabue,adze,False
"1979,1012.39",adze,,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_1979-1012-39,,,Found/Acquired: Swabue,"1979,1012.39",2026-05-27,,Found/Acquired: Swabue,adze,False
"1979,1012.28",adze,,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_1979-1012-28,,,Found/Acquired: Swabue,"1979,1012.28",2026-05-27,,Found/Acquired: Swabue,adze,False
"1979,1012.5",adze,,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_1979-1012-5,,,Found/Acquired: Swabue,"1979,1012.5",2026-05-27,,Found/Acquired: Swabue,adze,False
"1979,1012.9",adze,,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_1979-1012-9,,,Found/Acquired: Swabue,"1979,1012.9",2026-05-27,,Found/Acquired: Swabue,adze,False
"1979,1012.23",adze,,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_1979-1012-23,,,Found/Acquired: Swabue,"1979,1012.23",2026-05-27,,Found/Acquired: Swabue,adze,False
"1979,1012.7",adze,,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_1979-1012-7,,,Found/Acquired: Swabue,"1979,1012.7",2026-05-27,,Found/Acquired: Swabue,adze,False
"1979,1012.14",adze,,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_1979-1012-14,,,Found/Acquired: Swabue,"1979,1012.14",2026-05-27,,Found/Acquired: Swabue,adze,False
"1979,1012.27",adze,,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_1979-1012-27,,,Found/Acquired: Swabue,"1979,1012.27",2026-05-27,,Found/Acquired: Swabue,adze,False
"1959,0216.15",adze,5000BC-3000BC,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_1959-0216-15,https://media.britishmuseum.org/Repository/Documents/2014_10/3_7/7c5cd94a_0045_4720_9463_a3b90081f607/large_00351902_001.jpg,,Found/Acquired: Buzhaohai,"1959,0216.15",2026-05-27,,Found/Acquired: Buzhaohai,adze,
As.7097,tool/implement / adze,,adze,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_As-7097,https://media.britishmuseum.org/Repository/Documents/2024_6/16_5/78571344_a0c8_4714_9ebc_b191005d7b68/large_IMG_1286.jpg,,Found/Acquired: Yunnan (province),As.7097,2026-05-27,,Found/Acquired: Yunnan (province),tool/implement / adze,
OA+.3873,adze,,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_OA-3873,,,Found/Acquired: Yunnan (province),OA+.3873,2026-05-27,,Found/Acquired: Yunnan (province),adze,False
"1979,1012.8",adze,,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_1979-1012-8,,,Found/Acquired: Swabue,"1979,1012.8",2026-05-27,,Found/Acquired: Swabue,adze,False
OA+.3874,adze,,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_OA-3874,,,Found/Acquired: Yunnan (province),OA+.3874,2026-05-27,,Found/Acquired: Yunnan (province),adze,False
As.7104,adze,,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_As-7104,https://media.britishmuseum.org/Repository/Documents/2024_6/17_17/9290e6ef_7c37_43e8_8344_b19201211738/large_IMG_1447.jpg,,Found/Acquired: Tengchong,As.7104,2026-05-27,,Found/Acquired: Tengchong,adze,
OA+.3872,adze,,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_OA-3872,,,Found/Acquired: Yunnan (province),OA+.3872,2026-05-27,,Found/Acquired: Yunnan (province),adze,False
