object_id,aligned_artist
142528,China
27507,China
12561,China
199163,Josef Sudek
260343,"Mounts attributed to Jean-Claude Duplessis (born Savoy [now Italy], active France, about 1695–1774)"
270889,Ani Liu
270890,Ani Liu
79315,Odilon Redon
21702,China
12616,China
14319,"Paul Gauguin (French, 1848-1903)"
42541,China
12145,China
79309,Odilon Redon
9611,China
2508,China
75905,China
11125,Paul Gavarni
34078,China
12786,"China; probably from Zhengzhou, Henan province"
12741,China
8099,Rodolphe Bresdin
20561,Henry Spencer Moore
35384,China
7544,China
21745,China
68830,Manchu
21292,China
68715,China
79322,Odilon Redon
21481,China
105595,China
111862,"Edouard Jean Vuillard (French, 1868-1940)"
192877,Camille Pissarro
8076,Rodolphe Bresdin
109230,China
12497,China
198345,China
37729,China
133834,Frank Duveneck
48321,Alan Shields
16811,Dennis Stock
70169,China
21341,China
12731,China
12735,China
70207,"China, probably Sichuan province"
14329,"Paul Gauguin (French, 1848-1903)"
8037,Manchu
21423,China
7514,China
73796,James McNeill Whistler
12359,China
111366,"Édouard Manet (French, 1832-1883)"
233329,"Thom Mayne (American, born 1944)"
70093,China
22729,"Edouard Vuillard (French, 1868-1940)"
70129,China
129758,China
39534,"Timothy Cole (American, born England, 1852-1931)"
73220,China
9059,Rodolphe Bresdin
34075,China
21514,China
15563,Zao Wou-Ki
107043,Joseph Yoakum
22718,"Edouard Vuillard (French, 1868-1940)"
75521,Manchu
8087,Rodolphe Bresdin
18019,China
12132,China
21220,China
47953,China
69180,China
89655,China
23144,China
69810,China
12409,China; Jiangxi province
51834,China
91085,China
22722,"Edouard Vuillard (French, 1868-1940)"
28112,China
21555,China
69688,China
70167,China
79313,Odilon Redon
5410,China
12065,"China, probably Henan province"
51432,"China, Jiangxi province"
69801,China
21266,China
58282,Joseph Yoakum
86423,China
18013,China
37423,China
15726,China
23667,Adolphe Appian
79311,Odilon Redon
92910,China
93923,Iran
47961,China
42566,China
259167,"Crown Derby (England, founded 1750)"
22771,Paul Cézanne
45939,Leopoldo Méndez
8073,Rodolphe Bresdin
8081,Rodolphe Bresdin
104483,China
84711,China
40922,Alberto Giacometti
45806,Leopoldo Méndez
70256,Camille Pissarro
80916,China
21325,China
75916,China
25226,China
32538,China
144967,China
21307,China
21310,China
86420,China
109236,Henri de Toulouse-Lautrec
42185,China
86757,China
37725,China
21467,China
22740,"Edouard Vuillard (French, 1868-1940)"
183455,China
51825,China
18454,China
21496,China
68041,"Xia Chang (Chinese, 1388-1470)"
117330,China
15748,China
21701,China
195396,China
28163,China
22113,China
51423,China
55836,China
21712,China
