object_id,aligned_location
65902,China
69711,China
156446,United States
12013,China
28106,China
59448,China
11497,France
79318,France
21208,China
263123,China
28158,China
12028,China
28109,China
28125,China
12640,China
24960,United States
80882,China
2528,China
235667,China
86391,China
10393,China
14803,China
21212,China
21408,China
22711,France
21511,China
12214,China
180744,China
152849,China
21418,China
21483,China
3333,China
45464,China
11690,China
30214,China
15732,China
12407,China
183277,United States
142528,China
27507,China
12561,China
199163,Czech Republic
260343,China
270889,United States
270890,United States
79315,France
21702,China
12616,China
14319,France
42541,China
12145,China
79309,France
9611,China
2508,China
75905,China
11125,France
34078,China
12786,China
12741,China
8099,France
20561,England
35384,China
7544,China
21745,China
76279,China
68830,China
21292,China
68715,China
79322,France
21481,China
105595,China
111862,France
192877,France
8076,France
109230,China
12497,China
198345,China
37729,China
133834,United States
48321,United States
16811,United States
70169,China
21341,China
12731,China
12735,China
70207,China
14329,France
8037,China
21423,China
7514,China
73796,United States
12359,China
111366,France
70093,China
22729,France
70129,China
129758,China
39534,United States
73220,China
9059,France
34075,China
21514,China
15563,France
107043,United States
22718,France
75521,China
8087,France
18019,China
12132,China
21220,China
47953,China
69180,China
89655,China
23144,China
69810,China
12409,China
51834,China
91085,Hunan
22722,France
7896,China
28112,China
21555,China
69688,China
70167,China
79313,France
5410,China
12065,China
51432,China
69801,China
21266,China
58282,United States
86423,China
18013,China
37423,China
15726,China
23667,France
79311,France
92910,China
93923,Iran
47961,China
42566,China
259167,England
22771,France
45939,Mexico
8073,France
8081,France
104483,China
84711,China
40922,Switzerland
45806,Mexico
79505,China
70256,France
80916,China
21325,China
75916,China
25226,China
32538,China
144967,China
21307,China
21310,China
86420,China
109236,France
42185,China
86757,China
37725,China
21467,China
22740,France
183455,China
51825,China
18454,China
21496,China
68041,China
117330,China
15748,China
21701,China
195396,China
28163,China
22113,China
51423,China
55836,China
2716,China
21712,China
70763,China
68711,China
12529,China
69172,China
5003,China
22737,France
9624,France
12794,China
18007,China
34873,China
18235,China
71199,China
109185,United States
139488,United States
139593,United States
137971,United States
259168,England
259170,England
132148,China
70392,China
142529,China
2525,China
21295,China
21772,China
28444,China
12602,China
14335,France
26091,China
86744,China
53282,China
58180,China
83154,China
133709,China
21658,China
22068,China
14276,China
16397,China
79470,France
263669,United States
263943,South Africa
69827,China
6580,France
14326,France
33964,China
25230,China
21698,China
89468,China
82294,China
14331,France
12352,China
80912,China
70091,China
46261,China
69959,China
80721,France
12588,China
14314,France
21508,China
80777,China
80879,France
21319,China
12344,China
84370,France
52949,China
21286,China
92911,China
142530,China
14323,France
12514,China
75361,China
199165,Czech Republic
79336,France
39774,China
69770,China
42390,China
12470,China
86747,China
86599,China
259158,Stoke-on-Trent
259169,Stoke-on-Trent
259178,Shropshire
6775,China
14809,China
105530,China
21251,China
109223,China
22715,France
70095,China
110866,China
12721,China
12346,China
80904,China
37716,China
63392,France
21594,China
193827,France
13033,France
14852,China
105494,France
55821,China
180536,China
53532,China
21203,China
12537,China
21678,China
21734,China
33933,China
2606,Jingdezhen
70088,China
12241,France
87714,China
200630,France
17996,China
147031,China
21346,China
28128,China
221163,China
11435,China
11091,China
22735,France
35364,China
21413,China
80898,China
79332,France
79459,France
111081,France
21499,China
86415,China
117775,China
8209,China
7788,China
42187,China
33098,China
12679,China
21254,China
70757,China
42215,China
21312,China
36419,Scotland
58053,China
69683,China
69700,China
68980,China
86754,China
72589,China
21558,China
260222,Stoke-on-Trent
260223,Stoke-on-Trent
259162,Worcester
259174,Stoke-on-Trent
55926,United States
42806,China
33942,China
15737,China
12663,China
56142,China
138456,United States
12069,China
60878,China
79347,France
81842,China
12236,China
68978,China
79249,France
12305,China
11151,China
45804,Mexico
11999,France
41426,China
79317,France
21681,China
73256,China
80887,China
69937,China
81954,France
33936,China
27669,France
182864,China
2481,Jingdezhen
65922,China
183893,China
21887,China
22212,China
182783,China
14280,China
82164,France
186745,Mexico
54714,France
3585,China
12696,Junyao
103303,China
150152,China
7832,China
89836,China
105591,China
79223,France
187047,China
69605,China
69708,China
79453,France
79362,France
70164,China
68989,China
65889,China
13836,China
59752,France
21180,China
151599,China
69019,China
70059,China
47283,China
277820,Dehua
259161,Stoke-on-Trent
259163,Worcester
259164,Stoke-on-Trent
259165,Stoke-on-Trent
259166,Stoke-on-Trent
259172,Stoke-on-Trent
259175,England
259176,Stoke-on-Trent
259177,Stoke-on-Trent
259173,Stoke-on-Trent
75310,China
105937,China
21521,China
37722,China
21549,China
70045,China
70330,China
22671,France
21585,China
21591,China
8064,France
69638,China
69744,China
117554,China
17305,China
20435,France
73230,China
75903,China
186741,Mexico
233321,United States
36691,China
111140,China
21274,China
21397,China
76243,China
32539,China
21252,France
21692,China
70205,China
68697,China
5833,China
75946,China
152839,China
182989,China
186728,Mexico
78836,France
139230,Mexico
58156,China
8084,France
106598,France
12748,China
25999,China
182862,China
48982,China
31935,China
71015,China
76275,China
73239,China
68731,China
236098,China
58340,United States
86750,China
70191,China
158104,China
186735,Mexico
49817,France
42386,China
69572,China
180532,China
10495,China
111367,France
42112,China
259159,England
259160,Stoke-on-Trent
279375,Stoke on Trent
21629,China
9819,China
12077,China
79492,France
21518,China
33945,China
86418,China
68868,China
120578,China
72791,China
36825,France
21632,China
11094,China
69506,China
86491,China
22490,China
7791,Jingdezhen
12248,France
8986,China
129408,United States
16393,China
56801,China
58900,China
159683,China
7419,France
83673,France
3588,China
42213,China
21604,China
69812,China
13455,China
86661,China
62536,China
45668,France
20434,France
21430,China
23500,China
43097,China
69931,China
180135,China
182865,China
40558,China
65904,China
153627,China
79326,France
117596,England
79507,China
75317,China
84123,China
150406,China
42195,China
53535,China
69752,China
21683,China
21125,China
20635,China
193002,China
7782,China
12509,China
28161,China
12896,France
12672,China
70006,China
69008,China
80239,Netherlands
61041,Germany
42440,China
17459,China
64836,China
147469,China
2514,China
68754,China
70680,China
25640,China
12317,China
11703,China
22899,France
22865,Jingdezhen
80914,China
83677,France
49798,France
31202,China
26953,China
55213,China
53194,China
22075,China
131979,France
186751,Mexico
80377,China
35957,China
109503,France
57654,China
62583,China
36798,France
17244,Norway
28350,China
180725,United States
83022,England
230189,China
53276,China
69558,China
72380,China
15579,China
7843,Jingdezhen
65892,China
68898,China
193050,China
160040,Bohemia
58904,China
21731,China
58116,China
9579,France
12165,China
68840,China
111364,France
45433,Mexico
21457,China
42836,China
69719,China
68941,China
69324,China
105549,China
193334,China
13451,China
186779,Mexico
147883,China
193025,China
55833,China
10244,United States
43942,France
21806,China
24113,China
60348,China
104305,France
79585,France
147623,France
21648,China
27659,Jingdezhen
69574,China
7649,France
49406,Belgium
12543,China
180200,China
148422,China
3316,China
189161,China
49843,France
21662,China
53279,China
60339,China
55848,China
20349,France
79219,France
69961,China
73244,China
105529,China
159686,China
51502,Belgium
21323,China
21524,China
69798,China
69343,China
70693,China
7951,France
79435,France
80720,China
35955,France
27580,China
69639,China
70229,China
69576,China
106589,France
109039,France
12608,China
89465,China
28203,China
69355,China
44101,France
42262,China
86387,China
186765,Mexico
21205,China
75920,China
80215,China
22905,France
70018,China
68837,China
39385,France
42411,China
69980,China
88202,China
45424,China
70238,China
195395,China
17769,United States
49616,France
79310,China
45912,Mexico
149892,Japan
14441,France
135794,France
69152,China
82306,France
42460,China
21616,China
68700,China
69625,China
202971,China
11032,France
7816,China
42417,China
41882,China
69312,China
70606,China
73224,China
195401,China
121835,United States
53523,China
68944,China
84100,China
79494,France
58048,China
22195,China
68820,China
41865,China
21024,China
58283,China
68831,China
182994,China
21562,China
68986,China
180724,United States
89509,France
42096,China
68675,China
70663,China
117730,France
69285,China
158222,France
193326,China
42242,China
21754,China
7811,Jingdezhen
75930,China
69853,China
68677,China
69565,China
87653,China
7805,Jingdezhen
193018,China
79513,France
186739,Mexico
86658,China
21650,China
65909,China
65911,China
69331,China
241446,United States
27466,France
96627,China
68695,China
193049,China
126179,France
28594,England
46423,China
107912,China
130660,China
49919,France
106616,France
39380,France
69970,China
24098,China
44196,France
21431,China
8402,China
79406,France
42555,China
183393,China
202975,China
60945,China
49153,France
"1948,0716.30",Tibetan
"As1906,1226.29",Tibetan
"1926,1204.24",Tibetan
"1936,1007.2",Tibetan
"1936,1007.5",Tibetan
"1913,0721.7",Tibetan
"1936,1007.3",Tibetan
"1905,0518.75.a-b",Tibetan
5cc48dc5a511,Botanical
8831d3c5f3a9,Botanical
136877,"Greek, Attic"
135810,Cochiti
135354,Chinese
134229,"Greek, Attic"
38924,Roman
37279,Maya
33643,Roman
32473,Kuba
32221,Maya (Codex style)
23744,French
135904,Lambeyeque
135811,Tesuque
135798,Haak’u (Acoma)
135691,Nasca
135550,Nepalese
135367,French
133910,Etruscan
102729,possibly Bamileke
54926,Xochipala
47566,Maya
46033,Maya
37441,Classic Veracruz
33230,Nasca
32872,Japanese
32255,Chinese
31852,Japanese
29713,Chinese
23888,Chinese
137698,Maya
137260,Japanese
135796,Haak’u (Acoma)
134740,Taíno
57720,Dogon
32890,Japanese
31803,Roman
31420,Mexica
29134,Edo
22494,Paracas
19912,Persian
137406,Bwa
135683,Greater Greater Coclé (Macaracas style)
134737,Taíno
61090,Yorùbá
39164,Tlatilco (Type D4)
35195,Chinese
33737,Chinese
32269,Olmec style
29435,Japanese
21079,Egyptian
8894,Wari
137460,Iranian
137407,Wé
135817,Po-woh-ge-oweenge (San Ildefonso)
135696,Nasca
134682,Chinese
42370,Roman
36886,Akan
32714,Maya
22540,Paracas
8146,Greek
136920,Japanese
135561,"Greek, Attic"
23368,"Greek, Attic"
145376,Indian
145180,Chinese
145178,Chinese
145174,Chinese
144801,German
144797,German
144796,German
144794,German
144743,Chinese
144736,Japanese
144722,Japanese
144720,Korean
144371,Indian
144369,Nepalese
144254,Greater Diquís
142789,Tsonga
142677,Guro
142673,Korean
142506,Japanese
142408,Senufo or Bamana
142148,Yorùbá
142144,Fulani (Fulbe)
142112,Chinese
142110,Chinese
142081,French
142075,French
142069,French
142066,French
141747,Japanese
141742,French
141741,French
141738,French
141732,French
141729,French
141725,French
141713,French
141709,French
141688,French
141686,French
141652,Indian
141517,Northern Edo
141514,Olmec style
141512,Tlatilco (Type D1)
141510,Tlatilco (Type D4)
141189,Ethiopian
141165,Bamileke
141163,Dogon
140964,Diné
140959,Diné
140887,Japanese
140314,"Indian, Company School"
140313,Thai
140307,Korean
140214,Chinese
140209,Tlatilco (Type D1)
138591,Japanese
138414,She-we-na (Zuni)
138411,Kewa (Santo Domingo)
138358,Chinese
138247,Late Chimú (or Inka)
138235,Classic Veracruz
138183,Japanese
138150,possibly Chavín
138122,Chinese
137702,Chinese
137694,Cupisnique
137691,Chancay
137687,Mochica
137475,Tembladera
137474,Nasca
137469,Mochica
137462,Wari (Atarco B Style)
137349,Nupe
136907,Chinese
136904,Japanese
135963,Vietnamese
135812,Ohkay Owingeh (San Juan)
135805,Zia
135803,Zia
135795,Haak’u (Acoma)
135784,Indian
135745,Mesopotamian
135709,Chinese
135690,Nasca
135591,Chinese
135585,Chinese
135377,French
135362,French
135265,"Greek, Cretan"
134926,Nupe
134922,Nupe
134742,Taíno
134731,Taíno
134709,Japanese
134702,Chinese (southern) | Japanese
134561,Japanese photographer
134537,Greek
134473,Lingít
134468,Egyptian
134467,Calima
134393,Italian
134390,Italian
134108,Roman
134084,Chinese
134078,Chinese
134071,Chinese
134067,Chinese
134049,Chinese
134048,Chinese
134043,Chinese
134041,Chinese
134040,Chinese
134036,Chinese
134034,Chinese
133969,Chinese
133968,Chinese
133967,Chinese
133960,Chinese
133947,Ancient Puebloan
133943,Ancient Puebloan
133937,Mimbres
133936,Mimbres
133930,Japanese
133928,Japanese
133919,Japanese
133911,Chinese
133898,Japanese
133372,Wari
133369,La Tolita-Tumaco
133365,Chinese
129558,Japanese
129555,Chinese
129549,Chinese
129533,Chinese
129529,Chinese
129522,Chinese
129521,Chinese
128827,Mimbres
128825,Mimbres
128821,Mimbres
128593,Chinese
128571,Chinese
128393,Chinese
128339,Chinese
128338,Chinese
128330,Chinese
128324,Chinese
128314,Chinese
128303,Roman
128101,Chinese
128096,Chinese
128094,Chinese
128092,Chinese
128085,Chinese
128083,Chinese
128082,Chinese
128081,Chinese
128079,Chinese
128074,Chinese
127843,Chinese
127840,Chinese
127836,Chinese
127834,Chinese
127832,Chinese
127830,Chinese
127810,Chinese
127009,British photographer
127006,British photographer
127005,British photographer
126999,British photographer
126787,Chinese
126615,Canelos-Quichua
126074,Costa Rican
126063,Greater Nicoya
126062,Greater Nicoya
126061,Central Region-Atlantic Watershed
126053,Costa Rican
126049,Costa Rican
126047,Central Region-Atlantic Watershed
126046,Greater Nicoya
126040,Central Region-Atlantic Watershed
126033,Central Region-Atlantic Watershed
126030,Central Region-Atlantic Watershed
126027,Central Region-Atlantic Watershed
126023,Central Region-Atlantic Watershed
126015,Costa Rican
126011,Costa Rican
126003,Costa Rican
125997,Greater Nicoya
125994,Costa Rican
125985,Central Region-Atlantic Watershed
125983,Central Region-Atlantic Watershed
125976,Greater Nicoya
125971,Greater Nicoya
125970,Costa Rican
125961,Central Region-Atlantic Watershed
125959,Costa Rican
125958,Costa Rican
125957,Costa Rican
125956,Greater Nicoya
125954,Costa Rican
125948,Costa Rican
125945,Central Region-Atlantic Watershed
125942,Greater Nicoya
125936,Costa Rican
125935,Greater Nicoya
125928,Greater Nicoya
125921,Central Region-Atlantic Watershed
125920,Costa Rican
125917,Costa Rican
125913,Central Region-Atlantic Watershed
125912,Central Region-Atlantic Watershed
125911,Central Region-Atlantic Watershed
125909,Greater Nicoya
125896,Costa Rican
125886,Costa Rican
125881,Costa Rican
125879,Costa Rican
125844,Central Region-Atlantic Watershed
125839,Costa Rican
125838,Costa Rican
125831,Central Region-Atlantic Watershed
125826,Costa Rican
125823,Costa Rican
125822,Central Region-Atlantic Watershed
125815,Central Region-Atlantic Watershed
125809,Costa Rican
125806,Central Region-Atlantic Watershed
125445,Indian
125356,Chinese
125354,Chinese
125349,Chinese
124604,Chinese
124592,Chinese
124585,Chinese
124582,Chinese
123910,Chinese
122367,Indian
117611,Chancay
117610,Chancay
117607,Chancay
115984,Japanese
115918,"Early Byzantine period, 395–641 CE"
115642,Yorùbá
113321,Chinese
110902,Chinese
109051,Paracas
109043,Ixtlán del Río style
108818,Roman
108703,Salado
107933,Kuba artist
107478,Wurkun
107477,Urhobo
107472,probably Kom
107470,Eket
107466,Comala style
106337,Chinese
103940,Salado
103937,Salado
103936,Salado
103886,Edo
103878,Japanese
103118,Salinar
101337,Japanese
101113,Chinese
94060,Chinese
94032,Japanese
88262,Late Roman
87645,Indian
86994,Egyptian
86607,Inka
86256,Greek
86255,Greek
85602,Japanese
85481,Indian
73038,British
72968,French
72922,French
69578,Chinese
68856,Indian
68627,Chinese
68368,Nasca
65645,American photographer
65642,American photographer
65641,American photographer
65640,American photographer
65193,French
65191,French
65190,French
65186,French
65185,French
65181,French
65173,French
65171,French
64684,Japanese
64550,British
64540,British
64535,British
64533,British
64528,British
64513,British
64512,British
64509,British
64508,British
64491,British
64490,British
64486,British
64483,British
64480,British
64476,British
64475,British
64471,British
64463,British
64462,British
64460,British
64450,British
64449,British
64446,British
64437,British
64431,British
64429,British
64417,Chinese
64413,Chinese
64411,Chinese
64343,Indian
62916,Byzantine
62845,Lingít
62766,probably Lingít
62756,probably Lingít
62752,probably Lingít
62750,probably Lingít
62747,probably Lingít
62746,probably Lingít
62731,Lingít
62725,probably Lingít
62717,probably Lingít
62702,probably Lingít
62692,Haida
62687,Northwest Coast
62667,Lingít
62666,Lingít
62663,Lingít
62660,probably Lingít
62659,Lingít
62650,Lingít
62644,probably Lingít
62643,Lingít
62641,Lingít
62634,Lingít
62631,Lingít
62627,Lingít
62618,probably Makah
62616,Lingít
62611,Lingít
62605,Lingít
62597,Lingít
62596,Haida
62590,Haida
62568,Dakota
62567,Dakota
62548,Dakota
62539,Lingít
62521,"probably Haida , possibly Lingít"
62362,Chinese
62341,Chinese
62337,Chinese
62332,Chinese
62331,Chinese
62327,Chinese
62310,Chinese
62304,Chinese
62300,Chinese
62294,Chinese
62285,Chinese
62270,Chinese
62258,Chinese
62257,Chinese
62253,Chinese
62249,Chinese
62246,Chinese
62233,Chinese
62220,Chinese
62219,Chinese
62217,Chinese
62211,Chinese
62210,Chinese
62198,Chinese
62196,Chinese
62188,Chinese
62181,Chinese
62180,Chinese
62174,Chinese
62170,Chinese
62169,Chinese
62162,Chinese
62142,Chinese
62106,Chinese
62104,Chinese
62098,Chinese
62093,Chinese
62091,Chinese
62073,Chinese
62071,Chinese
62068,Chinese
62067,Chinese
62066,Chinese
62062,Chinese
62061,Chinese
62050,Chinese
62046,Chinese
62044,Chinese
62038,Chinese
62037,Chinese
62031,Chinese
62021,Japanese
62008,Chinese
62001,Chinese
61998,Chinese
61993,Chinese
61985,Chinese
61983,Chinese
61981,Chinese
61980,Chinese
61977,Chinese
61920,Japanese
61906,Chinese
61901,Chinese
61895,Chinese
61894,Chinese
61891,Chinese
61887,Chinese
61883,Chinese
61873,Chinese
61871,Chinese
61865,Chinese
61852,Chinese
61832,Roman
61829,Chinese
61828,Chinese
61825,Chinese
61824,Chinese
61821,Chinese
61814,Chinese
61811,Chinese
61808,Chinese
61792,Chinese
61785,Chinese
61781,Chinese
61780,Chinese
61775,Chinese
61772,Chinese
61762,Chinese
61735,Chinese
61732,Chinese
61731,Chinese
61728,Chinese
61726,Chinese
61725,Chinese
61721,Chinese
61717,Chinese
61711,Chinese
61709,Chinese
61700,Chinese
61699,Chinese
61693,Chinese
61692,Chinese
61688,Chinese
61674,Chinese
61672,Chinese
61661,Chinese
61652,Chinese
61651,Japanese
61650,Japanese
61642,Japanese
61641,Japanese
61637,Japanese
61636,Japanese
61631,Japanese
61626,Japanese
61625,Japanese
61620,Japanese
61613,Japanese
61604,Japanese
61506,Chinese
61504,Chinese
61472,Chinese
61451,Haak’u (Acoma)
61272,Chinese
61108,Japanese
61099,Kongo
61091,Yorùbá
61053,"Greek, Boeotian, Tanagra"
61052,Chinese
60801,Chinese
60606,Lingít
60586,Japanese
60582,Greek
60580,Greek
60558,Lingít
60433,probably Lingít
60423,Chinese
60415,Chinese
60407,Chinese
60405,Chinese
60395,Chinese
60381,Chinese
60376,Chinese
60375,Chinese
60373,Chinese
60369,Chinese
60367,Chinese
60366,Chinese
60365,Chinese
60356,Chinese
60354,Chinese
60353,Chinese
60329,Chinese
60328,Chinese
60322,Chinese
60320,Chinese
60314,Chinese
60304,Chinese
60301,Chinese
60295,Chinese
60293,Chinese
60290,Chinese
59953,Etruscan
59933,Islamic
59932,Islamic
59930,Islamic
59917,Lydian
59905,Lydian
59896,Lydian
59893,Lydian
59892,Lydian
59883,Lydian
59877,Lydian
59875,Lydian
59873,Lydian
59863,Lydian
59862,Lydian
59861,Lydian
59860,Lydian
59857,Lydian
59852,Lydian
59846,Lydian
59833,Lydian
59829,Lydian
59824,Lydian
59822,Lydian
59817,Lydian
59810,Greek
59808,Greek
59803,Greek
59802,Greek
59790,Greek
59789,Greek
59783,Greek
59779,Greek
59766,Central Italian
59636,Islamic
59632,Islamic
59630,Islamic
59614,Islamic
59602,Egyptian
59601,Egyptian
59595,Egyptian
59588,Egyptian
59576,Roman
59575,Roman
59569,Roman
59567,Roman
59563,Roman
59562,Roman
59561,Roman
59557,Roman
59556,Roman
59555,Roman
59552,Roman
59542,Roman
59540,Roman
59539,Roman
59530,East Greek or Carian
59528,East Greek or Carian
59522,East Greek or Carian
59517,Egyptian
59515,Egyptian
59514,Egyptian
59508,Egyptian
59496,East Greek or Carian
59491,"Greek, Attic"
59485,"Greek, Attic"
59481,"Greek, Attic"
59480,"Greek, Attic"
59473,"Greek, Attic"
59469,"Greek, Attic"
59456,"Greek, Attic"
59453,"Greek, Attic"
59450,"Greek, Attic"
59447,"Greek, Attic"
59443,"Greek, Attic"
59426,"Greek, Attic"
59421,"Greek, Attic"
59416,"Greek, Attic"
59405,"Greek, Attic"
59393,"Greek, Attic"
59390,"Greek, Attic"
59388,"Greek, Attic"
59385,"Greek, Attic"
59384,"Greek, Attic"
59383,"Greek, Attic"
59371,"Greek, Attic"
59360,East Greek or Carian
59351,East Greek or Carian
59344,East Greek or Carian
59339,East Greek or Carian
59330,Egyptian Islamic
59324,Egyptian Islamic
59322,Egyptian Islamic
59309,Roman
59119,Pueblo
59105,Islamic
59092,Tesuque
59088,Mimbres
59082,Mimbres
59080,Mimbres
58896,Egyptian
58412,Russian
58307,Egyptian
58287,Chinese
58280,Chinese
58279,Chinese
58278,Chinese
58275,Chinese
58274,Chinese
58269,Chinese
58265,Chinese
58045,Chinese
57988,Japanese
57947,Tesuque
57946,Pueblo
57862,Chinese
57853,Chinese
57839,Chinese
57837,Chinese
57835,Chinese
57833,Chinese
57832,Chinese
57829,Chinese
57826,Chinese
57825,Chinese
57819,Chinese
57804,Chinese
57803,Chinese
57798,Chinese
57780,Chinese
57775,Chinese
57695,Chinese
57683,Chinese
57678,Chinese
57674,Chinese
57670,Chinese
57660,Chinese
57658,Chinese
57656,Chinese
57655,Chinese
57654,Chinese
57643,Chinese
57642,Chinese
57632,Chinese
57624,Chinese
57613,Chinese
57610,Chinese
57609,Chinese
57607,Chinese
57603,Chinese
57584,Chinese
57573,Chinese
57555,Chinese
57528,Chinese
57520,Chinese
57517,Chinese
57511,Chinese
57509,Chinese
57508,Chinese
57496,Chinese
57473,Chinese
57471,Chinese
57385,Islamic
57383,Islamic
57374,Islamic
57371,Islamic
57369,Islamic
57367,Islamic
57348,Islamic
57346,Islamic
57344,Islamic
57343,Islamic
57341,Islamic
57339,Islamic
57122,Greek
57118,Japanese
56605,Indian
56604,Indian
56601,Indian
