name,uri
Henri Matisse,http://buct-kg.org/resource/artist/Henri_Matisse
Japanese,http://buct-kg.org/resource/artist/Japanese
Raoul Dufy,http://buct-kg.org/resource/artist/Raoul_Dufy
"Eugène Isabey (French, 1803-1886)",http://buct-kg.org/resource/artist/Eug_ne_Isabey_French_1803_1886
"Edvard Munch (Norwegian, 1863-1944)",http://buct-kg.org/resource/artist/Edvard_Munch_Norwegian_1863_1944
Honoré Victorin Daumier,http://buct-kg.org/resource/artist/Honor_Victorin_Daumier
"Édouard Manet (French, 1832-1883)",http://buct-kg.org/resource/artist/douard_Manet_French_1832_1883
"Edouard Jean Vuillard (French, 1868-1940)",http://buct-kg.org/resource/artist/Edouard_Jean_Vuillard_French_1868_1940
"José Guadalupe Posada (Mexican, 1852-1913)",http://buct-kg.org/resource/artist/Jos_Guadalupe_Posada_Mexican_1852_1913
Utagawa Hiroshige II (Shigenobu),http://buct-kg.org/resource/artist/Utagawa_Hiroshige_II_Shigenobu
"André Dunoyer, de Segonzac",http://buct-kg.org/resource/artist/Andr_Dunoyer_de_Segonzac
John Henry Twachtman,http://buct-kg.org/resource/artist/John_Henry_Twachtman
Pierre Bonnard,http://buct-kg.org/resource/artist/Pierre_Bonnard
Odilon Redon,http://buct-kg.org/resource/artist/Odilon_Redon
"Drawing Architecture Studio (Chinese, founded 2013)",http://buct-kg.org/resource/artist/Drawing_Architecture_Studio_Chinese_founded_2013
Lyonel Feininger,http://buct-kg.org/resource/artist/Lyonel_Feininger
China or Southeast Asia,http://buct-kg.org/resource/artist/China_or_Southeast_Asia
"China, Yunnan province",http://buct-kg.org/resource/artist/China_Yunnan_province
"Shaanxi or Henan provinces, China",http://buct-kg.org/resource/artist/Shaanxi_or_Henan_provinces_China
Li Huayi,http://buct-kg.org/resource/artist/Li_Huayi
"Mounts attributed to Jean-Claude Duplessis (born Savoy [now Italy], active France, about 1695–1774)",http://buct-kg.org/resource/artist/Mounts_attributed_to_Jean_Claude_Duplessis_born_Savoy_now_Italy_active_France_about_1695_1774
Ani Liu,http://buct-kg.org/resource/artist/Ani_Liu
"Paul Gauguin (French, 1848-1903)",http://buct-kg.org/resource/artist/Paul_Gauguin_French_1848_1903
Paul Gavarni,http://buct-kg.org/resource/artist/Paul_Gavarni
"China; probably from Zhengzhou, Henan province",http://buct-kg.org/resource/artist/China_probably_from_Zhengzhou_Henan_province
Henry Spencer Moore,http://buct-kg.org/resource/artist/Henry_Spencer_Moore
Camille Pissarro,http://buct-kg.org/resource/artist/Camille_Pissarro
Frank Duveneck,http://buct-kg.org/resource/artist/Frank_Duveneck
Alan Shields,http://buct-kg.org/resource/artist/Alan_Shields
Dennis Stock,http://buct-kg.org/resource/artist/Dennis_Stock
"China, probably Sichuan province",http://buct-kg.org/resource/artist/China_probably_Sichuan_province
"Timothy Cole (American, born England, 1852-1931)",http://buct-kg.org/resource/artist/Timothy_Cole_American_born_England_1852_1931
Zao Wou-Ki,http://buct-kg.org/resource/artist/Zao_Wou_Ki
Joseph Yoakum,http://buct-kg.org/resource/artist/Joseph_Yoakum
China; Jiangxi province,http://buct-kg.org/resource/artist/China_Jiangxi_province
"China, probably Henan province",http://buct-kg.org/resource/artist/China_probably_Henan_province
"China, Jiangxi province",http://buct-kg.org/resource/artist/China_Jiangxi_province
Iran,http://buct-kg.org/resource/artist/Iran
"Crown Derby (England, founded 1750)",http://buct-kg.org/resource/artist/Crown_Derby_England_founded_1750
Paul Cézanne,http://buct-kg.org/resource/artist/Paul_C_zanne
Leopoldo Méndez,http://buct-kg.org/resource/artist/Leopoldo_M_ndez
Alberto Giacometti,http://buct-kg.org/resource/artist/Alberto_Giacometti
"Xia Chang (Chinese, 1388-1470)",http://buct-kg.org/resource/artist/Xia_Chang_Chinese_1388_1470
"Whistler, James McNeill",http://buct-kg.org/resource/artist/Whistler_James_McNeill
"Copeland (Stoke-on-Trent, England, 1833-1970)",http://buct-kg.org/resource/artist/Copeland_Stoke_on_Trent_England_1833_1970
China; probably from Henan province,http://buct-kg.org/resource/artist/China_probably_from_Henan_province
Han-Chinese,http://buct-kg.org/resource/artist/Han_Chinese
Santu Mofokeng,http://buct-kg.org/resource/artist/Santu_Mofokeng
Henri Joseph Harpignies,http://buct-kg.org/resource/artist/Henri_Joseph_Harpignies
"Porcelain: Jingdezhen, China; mounts: probably London",http://buct-kg.org/resource/artist/Porcelain_Jingdezhen_China_mounts_probably_London
"Probably Minton (Stoke-on-Trent, England, founded 1793)",http://buct-kg.org/resource/artist/Probably_Minton_Stoke_on_Trent_England_founded_1793
