name,uri,era
Song dynasty (c. 1046),http://buct-kg.org/resource/period/Song_dynasty_c_1046,Unknown
Qing dynasty (c. 1960),http://buct-kg.org/resource/period/Qing_dynasty_c_1960,Unknown
Han dynasty (206 BCE-220 CE),http://buct-kg.org/resource/period/Han_dynasty_206_BCE_220_CE,Imperial China
Qing dynasty (c. 1805),http://buct-kg.org/resource/period/Qing_dynasty_c_1805,Unknown
"Western Wei dynasty (A.D. 535–557), dated A.D. 551",http://buct-kg.org/resource/period/Western_Wei_dynasty_A_D_535_557_dated_A_D_551,Unknown
Tang dynasty (c. 770),http://buct-kg.org/resource/period/Tang_dynasty_c_770,Unknown
Qing dynasty (c. 1914),http://buct-kg.org/resource/period/Qing_dynasty_c_1914,Unknown
Qing dynasty (c. 1998),http://buct-kg.org/resource/period/Qing_dynasty_c_1998,Unknown
Qing dynasty (c. 1862),http://buct-kg.org/resource/period/Qing_dynasty_c_1862,Unknown
Qing dynasty (c. 1871),http://buct-kg.org/resource/period/Qing_dynasty_c_1871,Unknown
Qing dynasty (c. 1897),http://buct-kg.org/resource/period/Qing_dynasty_c_1897,Unknown
Qing dynasty (c. 2005),http://buct-kg.org/resource/period/Qing_dynasty_c_2005,Unknown
Song dynasty (c. 1115),http://buct-kg.org/resource/period/Song_dynasty_c_1115,Unknown
Qing dynasty (c. 1994),http://buct-kg.org/resource/period/Qing_dynasty_c_1994,Unknown
Qing dynasty (c. 1721),http://buct-kg.org/resource/period/Qing_dynasty_c_1721,Unknown
"Northern dynasties, 6th century",http://buct-kg.org/resource/period/Northern_dynasties_6th_century,Unknown
Shang dynasty (c. 1600-1046 BCE),http://buct-kg.org/resource/period/Shang_dynasty_c_1600_1046_BCE,Ancient China
Qing dynasty (c. 1930),http://buct-kg.org/resource/period/Qing_dynasty_c_1930,Unknown
Early 20th century,http://buct-kg.org/resource/period/Early_20th_century,Unknown
Qing dynasty (c. 1836),http://buct-kg.org/resource/period/Qing_dynasty_c_1836,Unknown
Sui dynasty (581-618),http://buct-kg.org/resource/period/Sui_dynasty_581_618,Unknown
Qing dynasty (c. 1873),http://buct-kg.org/resource/period/Qing_dynasty_c_1873,Unknown
Warring States period (475-221 BCE),http://buct-kg.org/resource/period/Warring_States_period_475_221_BCE,Unknown
Qing dynasty (c. 1925),http://buct-kg.org/resource/period/Qing_dynasty_c_1925,Unknown
Qing dynasty (c. 1780),http://buct-kg.org/resource/period/Qing_dynasty_c_1780,Unknown
Qing dynasty (c. 1993),http://buct-kg.org/resource/period/Qing_dynasty_c_1993,Unknown
Qing dynasty (c. 1861),http://buct-kg.org/resource/period/Qing_dynasty_c_1861,Unknown
15th century,http://buct-kg.org/resource/period/15th_century,Unknown
Qing dynasty (c. 1831),http://buct-kg.org/resource/period/Qing_dynasty_c_1831,Unknown
Qing dynasty (c. 1834),http://buct-kg.org/resource/period/Qing_dynasty_c_1834,Unknown
Qing dynasty (c. 1874),http://buct-kg.org/resource/period/Qing_dynasty_c_1874,Unknown
Qing dynasty (c. 1875),http://buct-kg.org/resource/period/Qing_dynasty_c_1875,Unknown
Qing dynasty (c. 1765),http://buct-kg.org/resource/period/Qing_dynasty_c_1765,Unknown
Qing dynasty (c. 1859),http://buct-kg.org/resource/period/Qing_dynasty_c_1859,Unknown
Qing dynasty (c. 1860),http://buct-kg.org/resource/period/Qing_dynasty_c_1860,Unknown
Qing dynasty (c. 1927),http://buct-kg.org/resource/period/Qing_dynasty_c_1927,Unknown
Qing dynasty (c. 1828),http://buct-kg.org/resource/period/Qing_dynasty_c_1828,Unknown
Neolithic period,http://buct-kg.org/resource/period/Neolithic_period,Unknown
Qing dynasty (c. 1881),http://buct-kg.org/resource/period/Qing_dynasty_c_1881,Unknown
Tang dynasty (c. 937),http://buct-kg.org/resource/period/Tang_dynasty_c_937,Unknown
Qing dynasty (c. 1924),http://buct-kg.org/resource/period/Qing_dynasty_c_1924,Unknown
Tang dynasty (c. 907),http://buct-kg.org/resource/period/Tang_dynasty_c_907,Unknown
Qing dynasty (c. 2002),http://buct-kg.org/resource/period/Qing_dynasty_c_2002,Unknown
Qing dynasty (c. 1842),http://buct-kg.org/resource/period/Qing_dynasty_c_1842,Unknown
Qing dynasty (c. 1854),http://buct-kg.org/resource/period/Qing_dynasty_c_1854,Unknown
Qing dynasty (c. 1963),http://buct-kg.org/resource/period/Qing_dynasty_c_1963,Unknown
Qing dynasty (c. 1883),http://buct-kg.org/resource/period/Qing_dynasty_c_1883,Unknown
Qing dynasty (c. 1974),http://buct-kg.org/resource/period/Qing_dynasty_c_1974,Unknown
Qing dynasty (c. 1952),http://buct-kg.org/resource/period/Qing_dynasty_c_1952,Unknown
late 2nd millennium B.C.,http://buct-kg.org/resource/period/late_2nd_millennium_B_C,Unknown
Qing dynasty (c. 1921),http://buct-kg.org/resource/period/Qing_dynasty_c_1921,Unknown
Qing dynasty (c. 1956),http://buct-kg.org/resource/period/Qing_dynasty_c_1956,Unknown
Qing dynasty (c. 1965),http://buct-kg.org/resource/period/Qing_dynasty_c_1965,Unknown
Qing dynasty (c. 1885),http://buct-kg.org/resource/period/Qing_dynasty_c_1885,Unknown
Qing dynasty (c. 1942),http://buct-kg.org/resource/period/Qing_dynasty_c_1942,Unknown
Qing dynasty (c. 1962),http://buct-kg.org/resource/period/Qing_dynasty_c_1962,Unknown
Qing dynasty (c. 1934),http://buct-kg.org/resource/period/Qing_dynasty_c_1934,Unknown
Qing dynasty (c. 1884),http://buct-kg.org/resource/period/Qing_dynasty_c_1884,Unknown
Qing dynasty (c. 1889),http://buct-kg.org/resource/period/Qing_dynasty_c_1889,Unknown
Qing dynasty (c. 1970),http://buct-kg.org/resource/period/Qing_dynasty_c_1970,Unknown
Qing dynasty (c. 2004),http://buct-kg.org/resource/period/Qing_dynasty_c_2004,Unknown
Qing dynasty (c. 1848),http://buct-kg.org/resource/period/Qing_dynasty_c_1848,Unknown
"Erlitou period, 1st half of 2nd millennium B.C.",http://buct-kg.org/resource/period/Erlitou_period_1st_half_of_2nd_millennium_B_C,Unknown
Qing dynasty (c. 1888),http://buct-kg.org/resource/period/Qing_dynasty_c_1888,Unknown
Qing dynasty (c. 1906),http://buct-kg.org/resource/period/Qing_dynasty_c_1906,Unknown
Qing dynasty (c. 1870),http://buct-kg.org/resource/period/Qing_dynasty_c_1870,Unknown
Qing dynasty (c. 1855),http://buct-kg.org/resource/period/Qing_dynasty_c_1855,Unknown
Qing dynasty (c. 1745),http://buct-kg.org/resource/period/Qing_dynasty_c_1745,Unknown
Qing dynasty (c. 1898),http://buct-kg.org/resource/period/Qing_dynasty_c_1898,Unknown
Qing dynasty (c. 1901),http://buct-kg.org/resource/period/Qing_dynasty_c_1901,Unknown
Qing dynasty (c. 1785),http://buct-kg.org/resource/period/Qing_dynasty_c_1785,Unknown
Qing dynasty (c. 1880),http://buct-kg.org/resource/period/Qing_dynasty_c_1880,Unknown
Qing dynasty (c. 1866),http://buct-kg.org/resource/period/Qing_dynasty_c_1866,Unknown
"Eastern or Western Wei dynasty, c. mid–5th century (rededicated 594)",http://buct-kg.org/resource/period/Eastern_or_Western_Wei_dynasty_c_mid_5th_century_rededicated_594,Unknown
Qing dynasty (c. 1846),http://buct-kg.org/resource/period/Qing_dynasty_c_1846,Unknown
Qing dynasty (c. 1787),http://buct-kg.org/resource/period/Qing_dynasty_c_1787,Unknown
Qing dynasty (c. 1947),http://buct-kg.org/resource/period/Qing_dynasty_c_1947,Unknown
Qing dynasty (c. 1700),http://buct-kg.org/resource/period/Qing_dynasty_c_1700,Unknown
Qing dynasty (c. 1890),http://buct-kg.org/resource/period/Qing_dynasty_c_1890,Unknown
Qing dynasty (c. 1923),http://buct-kg.org/resource/period/Qing_dynasty_c_1923,Unknown
Qing dynasty (c. 1865),http://buct-kg.org/resource/period/Qing_dynasty_c_1865,Unknown
Qing dynasty (c. 1877),http://buct-kg.org/resource/period/Qing_dynasty_c_1877,Unknown
Qing dynasty (c. 1775),http://buct-kg.org/resource/period/Qing_dynasty_c_1775,Unknown
19th century,http://buct-kg.org/resource/period/19th_century,Unknown
Qing dynasty (c. 1922),http://buct-kg.org/resource/period/Qing_dynasty_c_1922,Unknown
Qing dynasty (c. 1850),http://buct-kg.org/resource/period/Qing_dynasty_c_1850,Unknown
Qing dynasty (c. 1826),http://buct-kg.org/resource/period/Qing_dynasty_c_1826,Unknown
Qing dynasty (c. 1784),http://buct-kg.org/resource/period/Qing_dynasty_c_1784,Unknown
Qing dynasty (c. 1835),http://buct-kg.org/resource/period/Qing_dynasty_c_1835,Unknown
Qing dynasty (c. 1651),http://buct-kg.org/resource/period/Qing_dynasty_c_1651,Unknown
Qing dynasty (c. 1949),http://buct-kg.org/resource/period/Qing_dynasty_c_1949,Unknown
