name,uri,era
Qing dynasty (c. 1913),http://buct-kg.org/resource/period/Qing_dynasty_c_1913,Unknown
Qing dynasty (c. 1916),http://buct-kg.org/resource/period/Qing_dynasty_c_1916,Unknown
Qing dynasty (c. 1997),http://buct-kg.org/resource/period/Qing_dynasty_c_1997,Unknown
probably second half of 20th century,http://buct-kg.org/resource/period/probably_second_half_of_20th_century,Unknown
Qing dynasty (c. 1810),http://buct-kg.org/resource/period/Qing_dynasty_c_1810,Unknown
late 19th century,http://buct-kg.org/resource/period/late_19th_century,Unknown
Ming dynasty (c. 1636),http://buct-kg.org/resource/period/Ming_dynasty_c_1636,Unknown
Ming dynasty (c. 1505),http://buct-kg.org/resource/period/Ming_dynasty_c_1505,Unknown
Late Intermediate Period to Late Horizon,http://buct-kg.org/resource/period/Late_Intermediate_Period_to_Late_Horizon,Unknown
Early Horizon,http://buct-kg.org/resource/period/Early_Horizon,Unknown
Qing dynasty (c. 1961),http://buct-kg.org/resource/period/Qing_dynasty_c_1961,Unknown
Late Intermediate Period to Early Horizon,http://buct-kg.org/resource/period/Late_Intermediate_Period_to_Early_Horizon,Unknown
Early Intermediate Period (Nasca phases 2-3),http://buct-kg.org/resource/period/Early_Intermediate_Period_Nasca_phases_2_3,Unknown
Early Intermediate Period (Moche phase II),http://buct-kg.org/resource/period/Early_Intermediate_Period_Moche_phase_II,Unknown
Middle Horizon (Middle Horizon 2B),http://buct-kg.org/resource/period/Middle_Horizon_Middle_Horizon_2B,Unknown
Ming dynasty (c. 1608),http://buct-kg.org/resource/period/Ming_dynasty_c_1608,Unknown
Mitannian,http://buct-kg.org/resource/period/Mitannian,Unknown
17th century,http://buct-kg.org/resource/period/17th_century,Unknown
Chicoid (Boca Chica),http://buct-kg.org/resource/period/Chicoid_Boca_Chica,Unknown
Integration Period,http://buct-kg.org/resource/period/Integration_Period,Unknown
Hellenistic period (323-31 BCE),http://buct-kg.org/resource/period/Hellenistic_period_323_31_BCE,Hellenistic
"Early Ptolemaic Period, ca. 304–30 BCE",http://buct-kg.org/resource/period/Early_Ptolemaic_Period_ca_304_30_BCE,Unknown
possibly 19th century,http://buct-kg.org/resource/period/possibly_19th_century,Unknown
Ming dynasty (c. 1630),http://buct-kg.org/resource/period/Ming_dynasty_c_1630,Unknown
Ming dynasty (c. 1634),http://buct-kg.org/resource/period/Ming_dynasty_c_1634,Unknown
Ming dynasty (c. 1586),http://buct-kg.org/resource/period/Ming_dynasty_c_1586,Unknown
Qing dynasty (c. 1755),http://buct-kg.org/resource/period/Qing_dynasty_c_1755,Unknown
Mogollon Brown Ware,http://buct-kg.org/resource/period/Mogollon_Brown_Ware,Unknown
Cibola White Ware,http://buct-kg.org/resource/period/Cibola_White_Ware,Unknown
Classic Black-on-White (Style III),http://buct-kg.org/resource/period/Classic_Black_on_White_Style_III,Unknown
Qing dynasty (c. 1830),http://buct-kg.org/resource/period/Qing_dynasty_c_1830,Unknown
19th or 20th century,http://buct-kg.org/resource/period/19th_or_20th_century,Unknown
Regional Development Period (Imguapí II),http://buct-kg.org/resource/period/Regional_Development_Period_Imguap_II,Unknown
Qing dynasty (c. 1733),http://buct-kg.org/resource/period/Qing_dynasty_c_1733,Unknown
Qing dynasty (c. 1671),http://buct-kg.org/resource/period/Qing_dynasty_c_1671,Unknown
Qing dynasty (c. 1911),http://buct-kg.org/resource/period/Qing_dynasty_c_1911,Unknown
Ming dynasty (c. 1550),http://buct-kg.org/resource/period/Ming_dynasty_c_1550,Unknown
Qing dynasty (c. 2003),http://buct-kg.org/resource/period/Qing_dynasty_c_2003,Unknown
Ming dynasty (c. 1622),http://buct-kg.org/resource/period/Ming_dynasty_c_1622,Unknown
Ming dynasty (c. 1628),http://buct-kg.org/resource/period/Ming_dynasty_c_1628,Unknown
Boldface Black-on-White (Style II),http://buct-kg.org/resource/period/Boldface_Black_on_White_Style_II,Unknown
Ming dynasty (c. 1594),http://buct-kg.org/resource/period/Ming_dynasty_c_1594,Unknown
Modern period,http://buct-kg.org/resource/period/Modern_period,Modern
Ming dynasty (c. 1588),http://buct-kg.org/resource/period/Ming_dynasty_c_1588,Unknown
Qing dynasty (c. 1725),http://buct-kg.org/resource/period/Qing_dynasty_c_1725,Unknown
Period IV,http://buct-kg.org/resource/period/Period_IV,Unknown
Period V,http://buct-kg.org/resource/period/Period_V,Unknown
Period IV or Period V,http://buct-kg.org/resource/period/Period_IV_or_Period_V,Unknown
Qing dynasty (c. 1777),http://buct-kg.org/resource/period/Qing_dynasty_c_1777,Unknown
Qing dynasty (c. 1856),http://buct-kg.org/resource/period/Qing_dynasty_c_1856,Unknown
Qing dynasty (c. 1953),http://buct-kg.org/resource/period/Qing_dynasty_c_1953,Unknown
Meiji period (1868-1912),http://buct-kg.org/resource/period/Meiji_period_1868_1912,Modern Japan
Qing dynasty (c. 1954),http://buct-kg.org/resource/period/Qing_dynasty_c_1954,Unknown
Qing dynasty (c. 1903),http://buct-kg.org/resource/period/Qing_dynasty_c_1903,Unknown
Late Formative Period,http://buct-kg.org/resource/period/Late_Formative_Period,Unknown
4th–5th century CE,http://buct-kg.org/resource/period/4th_5th_century_CE,Unknown
"Roosevelt Red Ware, Tonto polychrome",http://buct-kg.org/resource/period/Roosevelt_Red_Ware_Tonto_polychrome,Unknown
"Roosevelt Red Ware, Gila polychrome",http://buct-kg.org/resource/period/Roosevelt_Red_Ware_Gila_polychrome,Unknown
early 16th century,http://buct-kg.org/resource/period/early_16th_century,Unknown
Qing dynasty (c. 1653),http://buct-kg.org/resource/period/Qing_dynasty_c_1653,Unknown
Ming dynasty (c. 1627),http://buct-kg.org/resource/period/Ming_dynasty_c_1627,Unknown
Qing dynasty (c. 1779),http://buct-kg.org/resource/period/Qing_dynasty_c_1779,Unknown
5th century CE,http://buct-kg.org/resource/period/5th_century_CE,Unknown
c. 332 BCE,http://buct-kg.org/resource/period/c_332_BCE,Unknown
Qing dynasty (c. 1919),http://buct-kg.org/resource/period/Qing_dynasty_c_1919,Unknown
Late Horizon,http://buct-kg.org/resource/period/Late_Horizon,Unknown
Qing dynasty (c. 1821),http://buct-kg.org/resource/period/Qing_dynasty_c_1821,Unknown
Qing dynasty (c. 1808),http://buct-kg.org/resource/period/Qing_dynasty_c_1808,Unknown
Ming dynasty (c. 1561),http://buct-kg.org/resource/period/Ming_dynasty_c_1561,Unknown
Qing dynasty (c. 1841),http://buct-kg.org/resource/period/Qing_dynasty_c_1841,Unknown
Qing dynasty (c. 1839),http://buct-kg.org/resource/period/Qing_dynasty_c_1839,Unknown
Qing dynasty (c. 1838),http://buct-kg.org/resource/period/Qing_dynasty_c_1838,Unknown
Qing dynasty (c. 1847),http://buct-kg.org/resource/period/Qing_dynasty_c_1847,Unknown
18th century,http://buct-kg.org/resource/period/18th_century,Unknown
Qing dynasty (c. 1869),http://buct-kg.org/resource/period/Qing_dynasty_c_1869,Unknown
mid–20th century,http://buct-kg.org/resource/period/mid_20th_century,Unknown
c. 400 CE,http://buct-kg.org/resource/period/c_400_CE,Unknown
undated,http://buct-kg.org/resource/period/undated,Unknown
undated; 18th–19th century?,http://buct-kg.org/resource/period/undated_18th_19th_century,Unknown
end of the 4th century BCE,http://buct-kg.org/resource/period/end_of_the_4th_century_BCE,Unknown
Qing dynasty (c. 1771),http://buct-kg.org/resource/period/Qing_dynasty_c_1771,Unknown
Ming dynasty (c. 1515),http://buct-kg.org/resource/period/Ming_dynasty_c_1515,Unknown
first quarter of 5th century BCE,http://buct-kg.org/resource/period/first_quarter_of_5th_century_BCE,Unknown
7th–9th century,http://buct-kg.org/resource/period/7th_9th_century,Unknown
c. 550 BCE,http://buct-kg.org/resource/period/c_550_BCE,Unknown
Geometric,http://buct-kg.org/resource/period/Geometric,Unknown
c. 100 CE,http://buct-kg.org/resource/period/c_100_CE,Unknown
1st–4th century CE,http://buct-kg.org/resource/period/1st_4th_century_CE,Unknown
early 6th century BCE,http://buct-kg.org/resource/period/early_6th_century_BCE,Unknown
late 6th century BCE,http://buct-kg.org/resource/period/late_6th_century_BCE,Unknown
Tang dynasty (c. 909),http://buct-kg.org/resource/period/Tang_dynasty_c_909,Unknown
Tang dynasty (c. 775),http://buct-kg.org/resource/period/Tang_dynasty_c_775,Unknown
3rd–4th century CE,http://buct-kg.org/resource/period/3rd_4th_century_CE,Unknown
Qing dynasty (c. 1743),http://buct-kg.org/resource/period/Qing_dynasty_c_1743,Unknown
late 18th–early 19th century,http://buct-kg.org/resource/period/late_18th_early_19th_century,Unknown
Qing dynasty (c. 1795),http://buct-kg.org/resource/period/Qing_dynasty_c_1795,Unknown
c. 589 CE,http://buct-kg.org/resource/period/c_589_CE,Unknown
c. 550 CE,http://buct-kg.org/resource/period/c_550_CE,Unknown
c. 577 CE,http://buct-kg.org/resource/period/c_577_CE,Unknown
Ming dynasty (c. 1548),http://buct-kg.org/resource/period/Ming_dynasty_c_1548,Unknown
Historic,http://buct-kg.org/resource/period/Historic,Unknown
Qing dynasty (c. 1825),http://buct-kg.org/resource/period/Qing_dynasty_c_1825,Unknown
c. 581 CE,http://buct-kg.org/resource/period/c_581_CE,Unknown
c. 256 BCE,http://buct-kg.org/resource/period/c_256_BCE,Unknown
9th–11th century,http://buct-kg.org/resource/period/9th_11th_century,Unknown
13th–14th century,http://buct-kg.org/resource/period/13th_14th_century,Unknown
Qing dynasty (c. 1769),http://buct-kg.org/resource/period/Qing_dynasty_c_1769,Unknown
