object_id,aligned_period
225038,Qing dynasty (c. 2021)
225071,Qing dynasty (c. 2021)
225049,Qing dynasty (c. 2021)
225046,Qing dynasty (c. 2021)
225053,Qing dynasty (c. 2021)
225048,Qing dynasty (c. 2021)
224941,Qing dynasty (c. 2021)
225488,Qing dynasty (c. 2021)
225646,Qing dynasty (c. 2021)
225050,Qing dynasty (c. 2021)
224897,Qing dynasty (c. 2021)
225770,Qing dynasty (c. 2021)
225434,Qing dynasty (c. 2021)
225041,Qing dynasty (c. 2021)
225030,Qing dynasty (c. 2021)
225032,Qing dynasty (c. 2021)
225519,Qing dynasty (c. 2021)
225878,Qing dynasty (c. 2021)
225035,Qing dynasty (c. 2021)
225967,Qing dynasty (c. 2021)
225034,Qing dynasty (c. 2021)
225754,Qing dynasty (c. 2021)
225753,Qing dynasty (c. 2021)
225804,Qing dynasty (c. 2021)
226911,Qing dynasty (c. 2021)
226913,Qing dynasty (c. 2021)
226956,Qing dynasty (c. 2021)
226914,Qing dynasty (c. 2021)
224946,Qing dynasty (c. 2021)
225470,Qing dynasty (c. 2021)
227519,Qing dynasty (c. 2021)
225879,Qing dynasty (c. 2021)
224995,Qing dynasty (c. 2021)
225866,Qing dynasty (c. 2021)
225282,Qing dynasty (c. 2021)
224802,Qing dynasty (c. 2020)
224876,Qing dynasty (c. 2020)
224940,Qing dynasty (c. 2020)
224801,Qing dynasty (c. 2020)
225027,Qing dynasty (c. 2020)
224805,Qing dynasty (c. 2020)
224873,Qing dynasty (c. 2020)
224869,Qing dynasty (c. 2020)
225052,Qing dynasty (c. 2020)
224875,Qing dynasty (c. 2020)
225047,Qing dynasty (c. 2020)
224930,Qing dynasty (c. 2020)
224894,Qing dynasty (c. 2020)
224877,Qing dynasty (c. 2020)
225733,Qing dynasty (c. 2020)
225755,Qing dynasty (c. 2020)
224878,Qing dynasty (c. 2020)
225859,Qing dynasty (c. 2020)
224994,Qing dynasty (c. 2020)
225752,Qing dynasty (c. 2020)
225880,Qing dynasty (c. 2020)
224881,Qing dynasty (c. 2020)
224939,Qing dynasty (c. 2020)
226550,Qing dynasty (c. 2020)
226058,Qing dynasty (c. 2020)
226649,Qing dynasty (c. 2020)
226647,Qing dynasty (c. 2020)
226646,Qing dynasty (c. 2020)
226642,Qing dynasty (c. 2020)
226643,Qing dynasty (c. 2020)
226645,Qing dynasty (c. 2020)
226648,Qing dynasty (c. 2020)
226644,Qing dynasty (c. 2020)
226670,Qing dynasty (c. 2020)
226915,Qing dynasty (c. 2020)
226917,Qing dynasty (c. 2020)
226916,Qing dynasty (c. 2020)
225776,Qing dynasty (c. 2020)
224735,Qing dynasty (c. 2019)
224858,Qing dynasty (c. 2019)
217135,Qing dynasty (c. 2019)
224724,Qing dynasty (c. 2019)
225155,Qing dynasty (c. 2019)
224874,Qing dynasty (c. 2019)
224796,Qing dynasty (c. 2019)
224712,Qing dynasty (c. 2019)
224896,Qing dynasty (c. 2019)
224859,Qing dynasty (c. 2019)
224734,Qing dynasty (c. 2019)
224730,Qing dynasty (c. 2019)
224879,Qing dynasty (c. 2019)
224871,Qing dynasty (c. 2019)
224464,Qing dynasty (c. 2019)
224867,Qing dynasty (c. 2019)
224794,Qing dynasty (c. 2019)
224452,Qing dynasty (c. 2019)
225037,Qing dynasty (c. 2019)
225129,Qing dynasty (c. 2019)
225128,Qing dynasty (c. 2019)
225487,Qing dynasty (c. 2019)
225743,Qing dynasty (c. 2019)
226385,Qing dynasty (c. 2019)
226486,Qing dynasty (c. 2019)
225029,Qing dynasty (c. 2019)
224795,Qing dynasty (c. 2019)
224857,Qing dynasty (c. 2019)
226187,Qing dynasty (c. 2019)
226951,Qing dynasty (c. 2019)
226950,Qing dynasty (c. 2019)
224321,Qing dynasty (c. 2018)
224799,Qing dynasty (c. 2018)
224425,Qing dynasty (c. 2018)
224304,Qing dynasty (c. 2018)
224671,Qing dynasty (c. 2018)
224550,Qing dynasty (c. 2018)
224733,Qing dynasty (c. 2018)
224500,Qing dynasty (c. 2018)
224275,Qing dynasty (c. 2018)
224322,Qing dynasty (c. 2018)
