object_id,aligned_museum
225047,Brooklyn Museum
224930,Brooklyn Museum
224894,Brooklyn Museum
224877,Brooklyn Museum
225733,Brooklyn Museum
225755,Brooklyn Museum
224878,Brooklyn Museum
225859,Brooklyn Museum
224994,Brooklyn Museum
225752,Brooklyn Museum
225880,Brooklyn Museum
224881,Brooklyn Museum
224939,Brooklyn Museum
226550,Brooklyn Museum
226058,Brooklyn Museum
226649,Brooklyn Museum
226647,Brooklyn Museum
226646,Brooklyn Museum
226642,Brooklyn Museum
226643,Brooklyn Museum
226645,Brooklyn Museum
226648,Brooklyn Museum
226644,Brooklyn Museum
226670,Brooklyn Museum
226915,Brooklyn Museum
226917,Brooklyn Museum
226916,Brooklyn Museum
225776,Brooklyn Museum
224735,Brooklyn Museum
224858,Brooklyn Museum
217135,Brooklyn Museum
224724,Brooklyn Museum
225155,Brooklyn Museum
224874,Brooklyn Museum
224796,Brooklyn Museum
224712,Brooklyn Museum
224896,Brooklyn Museum
224859,Brooklyn Museum
224734,Brooklyn Museum
224730,Brooklyn Museum
224879,Brooklyn Museum
224871,Brooklyn Museum
224464,Brooklyn Museum
224867,Brooklyn Museum
224794,Brooklyn Museum
224452,Brooklyn Museum
225037,Brooklyn Museum
225129,Brooklyn Museum
225128,Brooklyn Museum
225487,Brooklyn Museum
225743,Brooklyn Museum
226385,Brooklyn Museum
226486,Brooklyn Museum
225029,Brooklyn Museum
224795,Brooklyn Museum
224857,Brooklyn Museum
226187,Brooklyn Museum
226951,Brooklyn Museum
226950,Brooklyn Museum
224321,Brooklyn Museum
224799,Brooklyn Museum
224425,Brooklyn Museum
224304,Brooklyn Museum
224671,Brooklyn Museum
224550,Brooklyn Museum
224733,Brooklyn Museum
224500,Brooklyn Museum
224275,Brooklyn Museum
224322,Brooklyn Museum
224868,Brooklyn Museum
224554,Brooklyn Museum
226115,Brooklyn Museum
226166,Brooklyn Museum
226136,Brooklyn Museum
226170,Brooklyn Museum
226168,Brooklyn Museum
226184,Brooklyn Museum
226155,Brooklyn Museum
226131,Brooklyn Museum
226165,Brooklyn Museum
226137,Brooklyn Museum
226124,Brooklyn Museum
226125,Brooklyn Museum
226133,Brooklyn Museum
226148,Brooklyn Museum
226162,Brooklyn Museum
226157,Brooklyn Museum
226120,Brooklyn Museum
226177,Brooklyn Museum
226176,Brooklyn Museum
226146,Brooklyn Museum
226145,Brooklyn Museum
226156,Brooklyn Museum
226173,Brooklyn Museum
226172,Brooklyn Museum
226163,Brooklyn Museum
226135,Brooklyn Museum
226179,Brooklyn Museum
226144,Brooklyn Museum
226149,Brooklyn Museum
226116,Brooklyn Museum
226113,Brooklyn Museum
226129,Brooklyn Museum
226139,Brooklyn Museum
226153,Brooklyn Museum
226171,Brooklyn Museum
226119,Brooklyn Museum
226167,Brooklyn Museum
226161,Brooklyn Museum
226147,Brooklyn Museum
226183,Brooklyn Museum
226121,Brooklyn Museum
224767,Brooklyn Museum
224725,Brooklyn Museum
224728,Brooklyn Museum
224327,Brooklyn Museum
226151,Brooklyn Museum
226182,Brooklyn Museum
226140,Brooklyn Museum
226117,Brooklyn Museum
226141,Brooklyn Museum
226152,Brooklyn Museum
226132,Brooklyn Museum
226186,Brooklyn Museum
226114,Brooklyn Museum
226169,Brooklyn Museum
226118,Brooklyn Museum
226123,Brooklyn Museum
226185,Brooklyn Museum
226160,Brooklyn Museum
226181,Brooklyn Museum
226142,Brooklyn Museum
226122,Brooklyn Museum
226158,Brooklyn Museum
224552,Brooklyn Museum
224453,Brooklyn Museum
224719,Brooklyn Museum
224299,Brooklyn Museum
224612,Brooklyn Museum
224289,Brooklyn Museum
224670,Brooklyn Museum
224738,Brooklyn Museum
224872,Brooklyn Museum
224713,Brooklyn Museum
225036,Brooklyn Museum
224276,Brooklyn Museum
224323,Brooklyn Museum
224263,Brooklyn Museum
224732,Brooklyn Museum
224311,Brooklyn Museum
225741,Brooklyn Museum
224553,Brooklyn Museum
224267,Brooklyn Museum
224061,Brooklyn Museum
226056,Brooklyn Museum
224167,Brooklyn Museum
224165,Brooklyn Museum
224160,Brooklyn Museum
224164,Brooklyn Museum
224166,Brooklyn Museum
224442,Brooklyn Museum
226788,Brooklyn Museum
225154,Brooklyn Museum
224454,Brooklyn Museum
226949,Brooklyn Museum
226918,Brooklyn Museum
226919,Brooklyn Museum
227515,Brooklyn Museum
227534,Brooklyn Museum
227535,Brooklyn Museum
224273,Brooklyn Museum
226697,Brooklyn Museum
225885,Brooklyn Museum
225884,Brooklyn Museum
225868,Brooklyn Museum
225886,Brooklyn Museum
225883,Brooklyn Museum
222655,Brooklyn Museum
224435,Brooklyn Museum
222612,Brooklyn Museum
224433,Brooklyn Museum
222683,Brooklyn Museum
222658,Brooklyn Museum
