object_id,title,period,type,material,description,dimensions,museum,location,detail_url,image_url,image_path,credit_line,accession_number,crawl_date,standardized_period,standardized_type,standardized_material,culture,data_quality_score,_culture,_dynasty,_reign,_object_date,_department,_country,_region,_artist,_artist_bio,_artist_nationality,_image_small,_accession_year,_is_public_domain,_image_valid,is_duplicate
776714,Vegetable #3,,Hanging scroll format mounted to board,Ink on paper,,"70 7/8 × 38 5/8 in. (180 × 98.1 cm)
with wooden board: 8 ft. 6 1/2 in. × 39 7/8 in. × 2 5/8 in. (260.4 × 101.3 × 6.7 cm)",The Metropolitan Museum of Art,"New York, United States",https://www.metmuseum.org/art/collection/search/776714,,,"Purchase, Funds from various donors, by exchange, 2018",2018.513,2026-05-27,Unknown,Hanging scroll,Ink on paper,China,0.6000000000000001,China,,,2015,Asian Art,,,Li Jin,"Chinese, born 1958",Chinese,,2018,False,False,False
824771,Marie Antoinette in a Park,,Drawing,"Black chalk, stumped, and white chalk; framing lines in black chalk",,Sheet: 23 3/16 × 15 7/8 in. (58.9 × 40.4 cm),The Metropolitan Museum of Art,"New York, United States",https://www.metmuseum.org/art/collection/search/824771,https://images.metmuseum.org/CRDImages/dp/original/DP-18368-001.jpg,,"Bequest of Mrs. Charles Wrightsman, 2019",2019.138.4,2026-05-27,Unknown,Drawing,"Black chalk, stumped, and white chalk; framing lines in black chalk",French,0.8,,,,ca. 1780–81,Drawings and Prints,,,Elisabeth Louise Vigée Le Brun,"French, Paris 1755–1842 Paris",French,https://images.metmuseum.org/CRDImages/dp/web-large/DP-18368-001.jpg,2019,True,True,False
436102,Virgin and Child with Four Angels,,Painting,Oil on wood,,24 7/8 x 15 3/8 in. (63.2 x 39.1 cm),The Metropolitan Museum of Art,"New York, United States",https://www.metmuseum.org/art/collection/search/436102,https://images.metmuseum.org/CRDImages/ep/original/DP-1410-001.jpg,,"Gift of Mr. and Mrs. Charles Wrightsman, 1977",1977.1.1,2026-05-27,Unknown,Painting,Oil on wood,Unknown,0.8,,,,ca. 1510–15,European Paintings,,,Gerard David,"Netherlandish, Oudewater ca. 1455–1523 Bruges",Netherlandish,https://images.metmuseum.org/CRDImages/ep/web-large/DP-1410-001.jpg,1977,True,True,False
707476,Apostle plate with inscription of Saint Phillip,,Plate,"Porcelain, with polychrome enamel",,Overall (confirmed): 1 × 8 7/8 × 8 7/8 in. (2.5 × 22.5 × 22.5 cm),The Metropolitan Museum of Art,"New York, United States",https://www.metmuseum.org/art/collection/search/707476,https://images.metmuseum.org/CRDImages/es/original/DP-14531-019.jpg,,"Gift of Luísa Vinhais and Jorge Welsh, in honor of Mr. and Mrs. Renato de Albuquerque, 2016",2016.73,2026-05-27,Unknown,Plate,Porcelain,Unknown,0.8,,,,ca. 1740,European Sculpture and Decorative Arts,,,,,,https://images.metmuseum.org/CRDImages/es/web-large/DP-14531-019.jpg,2016,True,True,False
53190,Guardian Lion-Dogs,Kamakura period (1185–1333),Figures,"Japanese cypress with lacquer, gold leaf, and color",,"a: H. 16 3/4 in. (42.5 cm); 
b: H. 18 in. (45.7 cm)",The Metropolitan Museum of Art,"New York, United States",https://www.metmuseum.org/art/collection/search/53190,https://images.metmuseum.org/CRDImages/as/original/DP-23915-001.jpg,,"Mary Griggs Burke Collection, Gift of the Mary and Jackson Burke Foundation, 2015","2015.300.257a, b",2026-05-27,Kamakura period (1185-1333),Figure,Gold,Japan,0.9,Japan,,,mid-13th century,Asian Art,,,,,,https://images.metmuseum.org/CRDImages/as/web-large/DP-23915-001.jpg,2015,True,True,False
192770,Saint Bridget of Sweden Receiving the Rule of Her Order,,Relief,Marble,,"Overall (confirmed): 16 3/4 × 25 1/8 × 2 3/4 in., 57 lb. (42.5 × 63.8 × 7 cm, 25.9 kg)",The Metropolitan Museum of Art,"New York, United States",https://www.metmuseum.org/art/collection/search/192770,https://images.metmuseum.org/CRDImages/es/original/DP224276.jpg,,"John Stewart Kennedy Fund, 1914",14.45,2026-05-27,Unknown,Relief,Marble,Italian,0.8,,,,1459,European Sculpture and Decorative Arts,,,Agostino d'Antonio di Duccio,"Italian, Florence, 1418–1498","Italian, Florence",https://images.metmuseum.org/CRDImages/es/web-large/DP224276.jpg,1914,True,True,False
53222,Musk Cat,Muromachi period (1392–1573),Hanging scroll,Hanging scroll; ink and color on paper,,"Image: 29 15/16 × 18 5/16 in. (76 × 46.5 cm)
Overall with mounting: 66 1/8 × 24 1/8 in. (168 × 61.3 cm)
Overall with knobs: 66 1/8 × 25 7/8 in. (168 × 65.8 cm)",The Metropolitan Museum of Art,"New York, United States",https://www.metmuseum.org/art/collection/search/53222,https://images.metmuseum.org/CRDImages/as/original/DP361166.jpg,,"Mary Griggs Burke Collection, Gift of the Mary and Jackson Burke Foundation, 2015",2015.300.66,2026-05-27,Muromachi period (1336-1573),Hanging scroll,Hanging scroll; ink and color on paper,Japan,0.9,Japan,,,mid- to late 16th century,Asian Art,,,Uto Gyoshi,"Japanese, active second half of 16th century",Japanese,https://images.metmuseum.org/CRDImages/as/web-large/DP361166.jpg,2015,True,True,False
438821,Ia Orana Maria (Hail Mary),,Painting,Oil on canvas,,44 3/4 x 34 1/2 in. (113.7 x 87.6 cm),The Metropolitan Museum of Art,"New York, United States",https://www.metmuseum.org/art/collection/search/438821,https://images.metmuseum.org/CRDImages/ep/original/DT1025.jpg,,"Bequest of Sam A. Lewisohn, 1951",51.112.2,2026-05-27,Unknown,Painting,Oil on canvas,French,0.8,,,,1891,European Paintings,,,Paul Gauguin,"French, Paris 1848–1903 Atuona, Hiva Oa, Marquesas Islands",French,https://images.metmuseum.org/CRDImages/ep/web-large/DT1025.jpg,1951,True,True,False
203842,Standing shelf (one of a pair),,Standing shelf,"Lacquered and painted pine, mahogany and British walnut",,Overall: 59 × 23 × 10 1/2 in. (149.9 × 58.4 × 26.7 cm),The Metropolitan Museum of Art,"New York, United States",https://www.metmuseum.org/art/collection/search/203842,https://images.metmuseum.org/CRDImages/es/original/DP105780.jpg,,"Gift of Irwin Untermyer, 1964",64.101.1124,2026-05-27,Unknown,Standing shelf,"Lacquered and painted pine, mahogany and British walnut",Unknown,0.8,,,,ca. 1753–54,European Sculpture and Decorative Arts,,,William Linnell,ca. 1703–1763,,https://images.metmuseum.org/CRDImages/es/web-large/DP105780.jpg,1964,True,True,False
437261,The Penitence of Saint Jerome,,"Painting, triptych",Oil on wood,,"Shaped top: central panel, overall, with engaged frame, 46 1/4 x 32 in. (117.5 x 81.3 cm); each wing, overall, with engaged frame, 47 1/2 x 14 in. (120.7 x 35.6 cm)",The Metropolitan Museum of Art,"New York, United States",https://www.metmuseum.org/art/collection/search/437261,https://images.metmuseum.org/CRDImages/ep/original/DT5549.jpg,,"Fletcher Fund, 1936",36.14a–c,2026-05-27,Unknown,Painting,Oil on wood,Unknown,0.8,,,,ca. 1515,European Paintings,,,Joachim Patinir,"Netherlandish, Dinant or Bouvignes, active by 1515–died 1524 Antwerp",Netherlandish,https://images.metmuseum.org/CRDImages/ep/web-large/DT5549.jpg,1936,True,True,False
460281,Tabernacle Polyptych with the Madonna and Child and Scenes from the Life of Christ,,Tabernacle polyptych,Ivory with traces of original gilding and polychromy; silver hinges.,,"H. 9.7 cm, w. 13.1 cm (with open wings).",The Metropolitan Museum of Art,"New York, United States",https://www.metmuseum.org/art/collection/search/460281,https://images.metmuseum.org/CRDImages/rl/original/SLP1553-1.jpg,,"Robert Lehman Collection, 1975",1975.1.1553,2026-05-27,Unknown,Tabernacle polyptych,Silver,Northern France (?),0.8,Northern France (?),,,ca. 1275–1300,Robert Lehman Collection,,,,,,https://images.metmuseum.org/CRDImages/rl/web-large/SLP1553-1.jpg,1975,True,True,False
194191,Clock watch with astronomical dial and sundial,,Clock watch,"Case: gilded brass; Dial: gilded brass, silver, and copper; Movement: gilded brass, partly blued steel, and silver",,Overall: 3 1/2 × 2 7/16 × 2 5/16 in. (8.9 × 6.2 × 5.9 cm); Width of back plate: 2 1/8 in. (5.4 cm),The Metropolitan Museum of Art,"New York, United States",https://www.metmuseum.org/art/collection/search/194191,https://images.metmuseum.org/CRDImages/es/original/DP340434.jpg,,"Gift of J. Pierpont Morgan, 1917",17.190.1603,2026-05-27,Unknown,Clock watch,Copper,Unknown,0.8,,,,ca. 1605–10,European Sculpture and Decorative Arts,,,Jan Jansen Bockeltz,"Dutch, active ca. 1590, died 1626",Dutch,https://images.metmuseum.org/CRDImages/es/web-large/DP340434.jpg,1917,True,True,False
38006,Portrait of the Indian Monk Atisha,,Thangka,Distemper and gold on cloth,,"Image: H. 19 1/2 in. (49.5 cm); W. 15/16 in. (35.4 cm)
Framed: H. 32 13/16 (83.3 cm); W. 21 11/16 in. (55.1 cm); D. 1 in. (2.5 cm)",The Metropolitan Museum of Art,"New York, United States",https://www.metmuseum.org/art/collection/search/38006,https://images.metmuseum.org/CRDImages/as/original/DP-42256-001.jpg,,"Gift of Steven Kossak, The Kronos Collections, 1993",1993.479,2026-05-27,Unknown,Thangka,Gold,Tibet,0.8,Tibet,,,early to mid-12th century,Asian Art,,,,,,https://images.metmuseum.org/CRDImages/as/web-large/DP-42256-001.jpg,1993,True,True,False
452102,Damascus Room,,Period room,"Wood (poplar) with gesso relief, gold and tin leaf, glazes and paint; wood (cypress, poplar, and mulberry), mother-of-pearl, marble and other stones, stucco with glass, plaster ceramic tiles, iron, brass",,"Overall:
           H. 264 7/16 in. (671.6 cm)
           W. 200 1/2 in. (509.2 cm)
           D. 316 5/8 in. (804.2 cm)
From inside front entrance to back wall:
           H. 316 5/8 in. (804.2 cm)
Fountain:
           H. 4 15/16 in. (12.5 cm)",The Metropolitan Museum of Art,"New York, United States",https://www.metmuseum.org/art/collection/search/452102,https://images.metmuseum.org/CRDImages/is/original/DP240367.jpg,,"Gift of The Hagop Kevorkian Fund, 1970",1970.170,2026-05-27,Unknown,Period room,Ceramic,Unknown,0.8,,,,dated 1119 AH/1707 CE,Islamic Art,Syria,,,,,https://images.metmuseum.org/CRDImages/is/web-large/DP240367.jpg,1970,True,True,False
49068,Bamboo in Snow,Edo period (1615–1868),Hanging scrolls,Pair of hanging scrolls; ink on silk,,"Image (each): 47 1/2 in. × 20 in. (120.7 × 50.8 cm)
Overall with mounting (each): 73 3/8 × 25 3/8 in. (186.4 × 64.5 cm)
Overall with knobs (each): 73 3/8 × 27 5/8 in. (186.4 × 70.2 cm)",The Metropolitan Museum of Art,"New York, United States",https://www.metmuseum.org/art/collection/search/49068,https://images.metmuseum.org/CRDImages/as/original/DP276881.jpg,,"The Harry G. C. Packard Collection of Asian Art, Gift of Harry G. C. Packard, and Purchase, Fletcher, Rogers, Harris Brisbane Dick, and Louis V. Bell Funds, Joseph Pulitzer Bequest, and The Annenberg Fund Inc. Gift, 1975","1975.268.80a, b",2026-05-27,Edo period (1603-1868),Hanging scroll,Silk,Japan,0.9,Japan,,,1774,Asian Art,,,Dapeng Zhengkun (Taihō Shōkon),"Chinese, 1691–1774",Chinese,https://images.metmuseum.org/CRDImages/as/web-large/DP276881.jpg,1975,True,True,False
207157,Dwarf (one of a pair),,Figure,Tin-glazed soft-paste porcelain decorated in polychrome enamels,,Overall (confirmed): 4 5/8 × 2 13/16 × 2 5/8 in. (11.7 × 7.1 × 6.7 cm),The Metropolitan Museum of Art,"New York, United States",https://www.metmuseum.org/art/collection/search/207157,https://images.metmuseum.org/CRDImages/es/original/DP223292.jpg,,"The Jack and Belle Linsky Collection, 1982",1982.60.275,2026-05-27,Unknown,Figure,Porcelain,French,0.8,,,,ca. 1740–45,European Sculpture and Decorative Arts,,,Villeroy,"French, 1734/37–1748",French,https://images.metmuseum.org/CRDImages/es/web-large/DP223292.jpg,1982,True,True,False
237451,Dwarf (one of a pair),,Figure,Tin-glazed soft-paste porcelain decorated in polychrome enamels,,Overall (confirmed): 4 5/8 x 2 1/8 x 2 15/16 in. (11.7 x 5.4 x 7.5 cm),The Metropolitan Museum of Art,"New York, United States",https://www.metmuseum.org/art/collection/search/237451,https://images.metmuseum.org/CRDImages/es/original/DP223292.jpg,,"The Jack and Belle Linsky Collection, 1982",1982.60.276,2026-05-27,Unknown,Figure,Porcelain,French,0.8,,,,ca. 1740–45,European Sculpture and Decorative Arts,,,Villeroy,"French, 1734/37–1748",French,https://images.metmuseum.org/CRDImages/es/web-large/DP223292.jpg,1982,True,True,False
