object_id,title,period,type,material,description,dimensions,museum,location,detail_url,image_url,image_path,credit_line,accession_number,crawl_date,standardized_period,standardized_type,standardized_material,culture,data_quality_score,_culture,_dynasty,_reign,_object_date,_department,_country,_region,_artist,_artist_bio,_artist_nationality,_image_small,_accession_year,_is_public_domain,_image_valid,is_duplicate
207247,Shoulao,,Figure,Tin-glazed soft-paste porcelain decorataed in polychrome enamels,,Overall (confirmed): 10 1/4 x 8 5/8 x 4 1/2 in. (26 x 21.9 x 11.4 cm),The Metropolitan Museum of Art,"New York, United States",https://www.metmuseum.org/art/collection/search/207247,https://images.metmuseum.org/CRDImages/es/original/DP156648.jpg,,"The Jack and Belle Linsky Collection, 1982",1982.60.371,2026-05-27,Unknown,Figure,Porcelain,French,0.8,,,,ca. 1735–40,European Sculpture and Decorative Arts,,,Chantilly,French,French,https://images.metmuseum.org/CRDImages/es/web-large/DP156648.jpg,1982,True,True,False
78191,Buddha Shakyamuni,,Figure,Brass with colored pigments,,H. 15 1/2 in. (39.4 cm); W. 10 7/16 in. (26.5 cm); D. 8 5/8 in. (21.9 cm),The Metropolitan Museum of Art,"New York, United States",https://www.metmuseum.org/art/collection/search/78191,https://images.metmuseum.org/CRDImages/as/original/DP-15581-015.jpg,,"Zimmerman Family Collection, Purchase, Lila Acheson Wallace, Oscar L. Tang, Anthony W. and Lulu C. Wang and Annette de la Renta Gifts, 2012",2012.458,2026-05-27,Unknown,Figure,Brass,Central Tibet,0.8,Central Tibet,,,12th century,Asian Art,,,,,,https://images.metmuseum.org/CRDImages/as/web-large/DP-15581-015.jpg,2012,True,True,False
329077,Head of a ruler,Early Bronze Age,Sculpture,Copper alloy,,13 9/16 × 8 3/8 × 9 3/16 in. (34.4 × 21.3 × 23.3 cm),The Metropolitan Museum of Art,"New York, United States",https://www.metmuseum.org/art/collection/search/329077,https://images.metmuseum.org/CRDImages/an/original/DP-23662-001.jpg,,"Rogers Fund, 1947",47.100.80,2026-05-27,Bronze Age,Sculpture,Copper,Unknown,0.9,,,,ca. 2300–2000 BCE,Ancient West Asian Art,,Mesopotamia,,,,https://images.metmuseum.org/CRDImages/an/web-large/DP-23662-001.jpg,1947,True,True,False
42733,Buddha Maitreya (Mile),Northern Wei dynasty (386–534),Figure,Gilt bronze with traces of pigment; piece-mold cast,,H. 55 1/4 in. (140.3 cm); W. 24 1/2 in. (62.2 cm); D. 19 1/4 in. (48.9 cm),The Metropolitan Museum of Art,"New York, United States",https://www.metmuseum.org/art/collection/search/42733,https://images.metmuseum.org/CRDImages/as/original/DP170102.jpg,,"John Stewart Kennedy Fund, 1926",26.123,2026-05-27,Northern Wei dynasty (386-534),Figure,Bronze,China,0.9,China,,,dated 486 (10th year of Taihe reign),Asian Art,,,,,,https://images.metmuseum.org/CRDImages/as/web-large/DP170102.jpg,1926,True,True,False
53660,Ten Verses on Oxherding,Kamakura period (1185–1333),Handscroll,Handscroll; ink and color on paper,,Image: 12 1/4 in. × 20 ft. 6 in. (31.1 × 624.8 cm),The Metropolitan Museum of Art,"New York, United States",https://www.metmuseum.org/art/collection/search/53660,https://images.metmuseum.org/CRDImages/as/original/2015_300_10_Burke_website.jpg,,"Mary Griggs Burke Collection, Gift of the Mary and Jackson Burke Foundation, 2015",2015.300.10,2026-05-27,Kamakura period (1185-1333),Handscroll,Handscroll; ink and color on paper,Japan,0.9,Japan,,,1278,Asian Art,,,,,,https://images.metmuseum.org/CRDImages/as/web-large/2015_300_10_Burke_website.jpg,2015,True,True,False
310453,Nkishi (community power figure),,Male figure,"Wood, copper, brass, iron, fiber, snakeskin, leather, fur, feathers, mud, resin",,H. 39 × W. 10 1/2 × D. 11 in. (99.1 × 26.7 × 27.9 cm),The Metropolitan Museum of Art,"New York, United States",https://www.metmuseum.org/art/collection/search/310453,,,"Purchase, Mrs. Charles Engelhard and Mary R. Morgan Gifts and Rogers Fund, 1978",1978.409,2026-05-27,Unknown,Figure,Copper,Songye peoples,0.6000000000000001,Songye peoples,,,19th–first half of 20th century,The Michael C. Rockefeller Wing,Democratic Republic of the Congo,Lomami River region,Songye artist and nganga (ritual specialist),,,,1978,False,False,False
437422,Charity,,Painting,Oil on canvas,,54 x 41 3/4 in. (137.2 x 106 cm),The Metropolitan Museum of Art,"New York, United States",https://www.metmuseum.org/art/collection/search/437422,https://images.metmuseum.org/CRDImages/ep/original/DT10776.jpg,,"Gift of Mr. and Mrs. Charles Wrightsman, 1974",1974.348,2026-05-27,Unknown,Painting,Oil on canvas,Italian,0.8,,,,ca. 1630,European Paintings,,,Guido Reni,"Italian, Bologna 1575–1642 Bologna",Italian,https://images.metmuseum.org/CRDImages/ep/web-large/DT10776.jpg,1974,True,True,False
764095,"Christ Carrying the Cross, called ""The Lord of the Fall""",,Painting,Oil and gold on canvas,,65 × 48 in. (165.1 × 121.9 cm),The Metropolitan Museum of Art,"New York, United States",https://www.metmuseum.org/art/collection/search/764095,https://images.metmuseum.org/CRDImages/ad/original/DP-18755-007.jpg,,"Gift of James Kung Wei Li, in memory of Ambassador and Mme Ti-Tsun Li, Republic of China, 2018",2018.652.5,2026-05-27,Unknown,Painting,Gold,Peru (Cuzco),0.8,Peru (Cuzco),,,ca. 1770–75,The American Wing,,,Unknown,,,https://images.metmuseum.org/CRDImages/ad/web-large/DP-18755-007.jpg,2018,True,True,False
206965,Longcase astronomical regulator,,Longcase astronomical regulator,"Case: oak veneered with ebony and brass, with gilt-bronze mounts; Dial: white enamel; Movement: gilded brass and steel",,Overall: 90 1/2 × 21 × 12 3/4 in. (229.9 × 53.3 × 32.4 cm),The Metropolitan Museum of Art,"New York, United States",https://www.metmuseum.org/art/collection/search/206965,https://images.metmuseum.org/CRDImages/es/original/DP336058.jpg,,"The Jack and Belle Linsky Collection, 1982",1982.60.50,2026-05-27,Unknown,Longcase astronomical regulator,Bronze,French,0.8,,,,ca. 1768–70,European Sculpture and Decorative Arts,,,Ferdinand Berthoud,"French, 1727–1807",French,https://images.metmuseum.org/CRDImages/es/web-large/DP336058.jpg,1982,True,True,False
317877,Processional Cross,,Cross,Brass,,H. 10 1/2 × W. 5 × D. 1 in. (26.7 × 12.7 × 2.5 cm),The Metropolitan Museum of Art,"New York, United States",https://www.metmuseum.org/art/collection/search/317877,https://images.metmuseum.org/CRDImages/ao/original/DP100984.jpg,,"Purchase, Elaine Rosenberg Gift and funds from various donors, 1998",1998.37,2026-05-27,Unknown,Cross,Brass,Northern Highlands region,0.8,Northern Highlands region,,,14th–15th century,The Michael C. Rockefeller Wing,Ethiopia,Lasta region,Northern Highlands artist,,,https://images.metmuseum.org/CRDImages/ao/web-large/DP100984.jpg,1998,True,True,False
