title,object_name,culture,period,dynasty,reign,object_date,medium,classification,department,dimensions,credit_line,country,region,artist,artist_bio,artist_nationality,image_url,image_small,object_url,accession_number,accession_year,is_public_domain,source,image_valid,image_local
Shoulao,Figure,,,,,ca. 1735–40,Tin-glazed soft-paste porcelain decorataed in polychrome enamels,Ceramics-Porcelain,European Sculpture and Decorative Arts,Overall (confirmed): 10 1/4 x 8 5/8 x 4 1/2 in. (26 x 21.9 x 11.4 cm),"The Jack and Belle Linsky Collection, 1982",,,Chantilly,French,French,https://images.metmuseum.org/CRDImages/es/original/DP156648.jpg,https://images.metmuseum.org/CRDImages/es/web-large/DP156648.jpg,https://www.metmuseum.org/art/collection/search/207247,1982.60.371,1982,True,met_museum,True,
Buddha Shakyamuni,Figure,Central Tibet,,,,12th century,Brass with colored pigments,Sculpture,Asian Art,H. 15 1/2 in. (39.4 cm); W. 10 7/16 in. (26.5 cm); D. 8 5/8 in. (21.9 cm),"Zimmerman Family Collection, Purchase, Lila Acheson Wallace, Oscar L. Tang, Anthony W. and Lulu C. Wang and Annette de la Renta Gifts, 2012",,,,,,https://images.metmuseum.org/CRDImages/as/original/DP-15581-015.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-15581-015.jpg,https://www.metmuseum.org/art/collection/search/78191,2012.458,2012,True,met_museum,True,
Head of a ruler,Sculpture,,Early Bronze Age,,,ca. 2300–2000 BCE,Copper alloy,,Ancient West Asian Art,13 9/16 × 8 3/8 × 9 3/16 in. (34.4 × 21.3 × 23.3 cm),"Rogers Fund, 1947",,Mesopotamia,,,,https://images.metmuseum.org/CRDImages/an/original/DP-23662-001.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP-23662-001.jpg,https://www.metmuseum.org/art/collection/search/329077,47.100.80,1947,True,met_museum,True,
Buddha Maitreya (Mile),Figure,China,Northern Wei dynasty (386–534),,,dated 486 (10th year of Taihe reign),Gilt bronze with traces of pigment; piece-mold cast,Sculpture,Asian Art,H. 55 1/4 in. (140.3 cm); W. 24 1/2 in. (62.2 cm); D. 19 1/4 in. (48.9 cm),"John Stewart Kennedy Fund, 1926",,,,,,https://images.metmuseum.org/CRDImages/as/original/DP170102.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP170102.jpg,https://www.metmuseum.org/art/collection/search/42733,26.123,1926,True,met_museum,True,
Ten Verses on Oxherding,Handscroll,Japan,Kamakura period (1185–1333),,,1278,Handscroll; ink and color on paper,Paintings,Asian Art,Image: 12 1/4 in. × 20 ft. 6 in. (31.1 × 624.8 cm),"Mary Griggs Burke Collection, Gift of the Mary and Jackson Burke Foundation, 2015",,,,,,https://images.metmuseum.org/CRDImages/as/original/2015_300_10_Burke_website.jpg,https://images.metmuseum.org/CRDImages/as/web-large/2015_300_10_Burke_website.jpg,https://www.metmuseum.org/art/collection/search/53660,2015.300.10,2015,True,met_museum,True,
Nkishi (community power figure),Male figure,Songye peoples,,,,19th–first half of 20th century,"Wood, copper, brass, iron, fiber, snakeskin, leather, fur, feathers, mud, resin",Wood-Sculpture,The Michael C. Rockefeller Wing,H. 39 × W. 10 1/2 × D. 11 in. (99.1 × 26.7 × 27.9 cm),"Purchase, Mrs. Charles Engelhard and Mary R. Morgan Gifts and Rogers Fund, 1978",Democratic Republic of the Congo,Lomami River region,Songye artist and nganga (ritual specialist),,,,,https://www.metmuseum.org/art/collection/search/310453,1978.409,1978,False,met_museum,False,
Charity,Painting,,,,,ca. 1630,Oil on canvas,Paintings,European Paintings,54 x 41 3/4 in. (137.2 x 106 cm),"Gift of Mr. and Mrs. Charles Wrightsman, 1974",,,Guido Reni,"Italian, Bologna 1575–1642 Bologna",Italian,https://images.metmuseum.org/CRDImages/ep/original/DT10776.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DT10776.jpg,https://www.metmuseum.org/art/collection/search/437422,1974.348,1974,True,met_museum,True,
"Christ Carrying the Cross, called ""The Lord of the Fall""",Painting,Peru (Cuzco),,,,ca. 1770–75,Oil and gold on canvas,,The American Wing,65 × 48 in. (165.1 × 121.9 cm),"Gift of James Kung Wei Li, in memory of Ambassador and Mme Ti-Tsun Li, Republic of China, 2018",,,Unknown,,,https://images.metmuseum.org/CRDImages/ad/original/DP-18755-007.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DP-18755-007.jpg,https://www.metmuseum.org/art/collection/search/764095,2018.652.5,2018,True,met_museum,True,
Longcase astronomical regulator,Longcase astronomical regulator,,,,,ca. 1768–70,"Case: oak veneered with ebony and brass, with gilt-bronze mounts; Dial: white enamel; Movement: gilded brass and steel",Horology,European Sculpture and Decorative Arts,Overall: 90 1/2 × 21 × 12 3/4 in. (229.9 × 53.3 × 32.4 cm),"The Jack and Belle Linsky Collection, 1982",,,Ferdinand Berthoud,"French, 1727–1807",French,https://images.metmuseum.org/CRDImages/es/original/DP336058.jpg,https://images.metmuseum.org/CRDImages/es/web-large/DP336058.jpg,https://www.metmuseum.org/art/collection/search/206965,1982.60.50,1982,True,met_museum,True,
Processional Cross,Cross,Northern Highlands region,,,,14th–15th century,Brass,Metal-Sculpture,The Michael C. Rockefeller Wing,H. 10 1/2 × W. 5 × D. 1 in. (26.7 × 12.7 × 2.5 cm),"Purchase, Elaine Rosenberg Gift and funds from various donors, 1998",Ethiopia,Lasta region,Northern Highlands artist,,,https://images.metmuseum.org/CRDImages/ao/original/DP100984.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP100984.jpg,https://www.metmuseum.org/art/collection/search/317877,1998.37,1998,True,met_museum,True,
