title,object_type,culture,period,material,findspot,object_name,museum_number,image_url,object_url,source,image_valid,image_local
decorated paper / advertisement,advertisement,,,,Found/Acquired: China,decorated paper / advertisement,"1986,0319,0.44",,https://www.britishmuseum.org/collection/object/A_1986-0319-0-44,british_museum,False,
adze,,,,,Found/Acquired: Tibet,adze,"As1906,1226.29",,https://www.britishmuseum.org/collection/object/A_As1906-1226-29,british_museum,False,
adze,,,,,Found/Acquired: Swabue,adze,"1979,1012.4",,https://www.britishmuseum.org/collection/object/A_1979-1012-4,british_museum,False,
adze,,,,,Found/Acquired: Swabue,adze,"1979,1012.1",,https://www.britishmuseum.org/collection/object/A_1979-1012-1,british_museum,False,
adze,,,,,Found/Acquired: Swabue,adze,"1979,1012.39",,https://www.britishmuseum.org/collection/object/A_1979-1012-39,british_museum,False,
adze,,,,,Found/Acquired: Swabue,adze,"1979,1012.28",,https://www.britishmuseum.org/collection/object/A_1979-1012-28,british_museum,False,
adze,,,,,Found/Acquired: Swabue,adze,"1979,1012.5",,https://www.britishmuseum.org/collection/object/A_1979-1012-5,british_museum,False,
adze,,,,,Found/Acquired: Swabue,adze,"1979,1012.9",,https://www.britishmuseum.org/collection/object/A_1979-1012-9,british_museum,False,
adze,,,,,Found/Acquired: Swabue,adze,"1979,1012.23",,https://www.britishmuseum.org/collection/object/A_1979-1012-23,british_museum,False,
adze,,,,,Found/Acquired: Swabue,adze,"1979,1012.7",,https://www.britishmuseum.org/collection/object/A_1979-1012-7,british_museum,False,
adze,,,,,Found/Acquired: Swabue,adze,"1979,1012.14",,https://www.britishmuseum.org/collection/object/A_1979-1012-14,british_museum,False,
adze,,,,,Found/Acquired: Swabue,adze,"1979,1012.27",,https://www.britishmuseum.org/collection/object/A_1979-1012-27,british_museum,False,
adze,,,5000BC-3000BC,,Found/Acquired: Buzhaohai,adze,"1959,0216.15",https://media.britishmuseum.org/Repository/Documents/2014_10/3_7/7c5cd94a_0045_4720_9463_a3b90081f607/large_00351902_001.jpg,https://www.britishmuseum.org/collection/object/A_1959-0216-15,british_museum,False,
tool/implement / adze,adze,,,,Found/Acquired: Yunnan (province),tool/implement / adze,As.7097,https://media.britishmuseum.org/Repository/Documents/2024_6/16_5/78571344_a0c8_4714_9ebc_b191005d7b68/large_IMG_1286.jpg,https://www.britishmuseum.org/collection/object/A_As-7097,british_museum,False,
adze,,,,,Found/Acquired: Yunnan (province),adze,OA+.3873,,https://www.britishmuseum.org/collection/object/A_OA-3873,british_museum,False,
adze,,,,,Found/Acquired: Swabue,adze,"1979,1012.8",,https://www.britishmuseum.org/collection/object/A_1979-1012-8,british_museum,False,
adze,,,,,Found/Acquired: Yunnan (province),adze,OA+.3874,,https://www.britishmuseum.org/collection/object/A_OA-3874,british_museum,False,
adze,,,,,Found/Acquired: Tengchong,adze,As.7104,https://media.britishmuseum.org/Repository/Documents/2024_6/17_17/9290e6ef_7c37_43e8_8344_b19201211738/large_IMG_1447.jpg,https://www.britishmuseum.org/collection/object/A_As-7104,british_museum,False,
adze,,,,,Found/Acquired: Yunnan (province),adze,OA+.3872,,https://www.britishmuseum.org/collection/object/A_OA-3872,british_museum,False,
