title,plant_name,collection,category,url,image_url,source,image_valid,image_local
diagram of tree locations,diagram of tree locations,Cherry Blossoms at BBG,plant,https://www.bbg.org/collections/cherries,https://www.bbg.org/img/uploads/cherries/cherrymap2020-02.gif,brooklyn_botanic,True,
a woman smiles amid blossoming cherry trees,a woman smiles amid blossoming cherry trees,Cherry Blossoms at BBG,plant,https://www.bbg.org/collections/cherries,https://www.bbg.org/img/uploads/collections/inline/cherries_membership-ad-v2.jpg,brooklyn_botanic,True,
