object_id,title,period,type,material,description,dimensions,museum,location,detail_url,image_url,image_path,credit_line,accession_number,crawl_date,standardized_period,standardized_type,standardized_material,culture,data_quality_score,_plant_name,_collection,_image_valid,is_duplicate,aligned_museum,aligned_period,aligned_type,aligned_material
5cc48dc5a511,diagram of tree locations,,plant,,Cherry Blossoms at BBG,,Brooklyn Botanic Garden,"Brooklyn, New York, United States",https://www.bbg.org/collections/cherries,https://www.bbg.org/img/uploads/cherries/cherrymap2020-02.gif,,,,2026-05-27,Living collection,Plant,Living plant,Botanical,0.8,diagram of tree locations,Cherry Blossoms at BBG,True,False,Brooklyn Botanic Garden,Living collection,Plant,
8831d3c5f3a9,a woman smiles amid blossoming cherry trees,,plant,,Cherry Blossoms at BBG,,Brooklyn Botanic Garden,"Brooklyn, New York, United States",https://www.bbg.org/collections/cherries,https://www.bbg.org/img/uploads/collections/inline/cherries_membership-ad-v2.jpg,,,,2026-05-27,Living collection,Plant,Living plant,Botanical,0.8,a woman smiles amid blossoming cherry trees,Cherry Blossoms at BBG,True,False,Brooklyn Botanic Garden,Living collection,Plant,
