object_id,aligned_period
225761,Qing dynasty (c. 2022)
225760,Qing dynasty (c. 2022)
225764,Qing dynasty (c. 2022)
225762,Qing dynasty (c. 2022)
225765,Qing dynasty (c. 2022)
225763,Qing dynasty (c. 2022)
225766,Qing dynasty (c. 2022)
225497,Qing dynasty (c. 2022)
225860,Qing dynasty (c. 2022)
225292,Qing dynasty (c. 2022)
226701,Qing dynasty (c. 2022)
225287,Qing dynasty (c. 2022)
226599,Qing dynasty (c. 2022)
226511,Qing dynasty (c. 2022)
225871,Qing dynasty (c. 2022)
225425,Qing dynasty (c. 2022)
225728,Qing dynasty (c. 2022)
225521,Qing dynasty (c. 2022)
225537,Qing dynasty (c. 2022)
225514,Qing dynasty (c. 2022)
226907,Qing dynasty (c. 2022)
226912,Qing dynasty (c. 2022)
225650,Qing dynasty (c. 2022)
225013,Qing dynasty (c. 2022)
224999,Qing dynasty (c. 2022)
225773,Qing dynasty (c. 2022)
226922,Qing dynasty (c. 2022)
225771,Qing dynasty (c. 2022)
225887,Qing dynasty (c. 2022)
225039,Qing dynasty (c. 2021)
225038,Qing dynasty (c. 2021)
225071,Qing dynasty (c. 2021)
225049,Qing dynasty (c. 2021)
225046,Qing dynasty (c. 2021)
225053,Qing dynasty (c. 2021)
225048,Qing dynasty (c. 2021)
224941,Qing dynasty (c. 2021)
225488,Qing dynasty (c. 2021)
225646,Qing dynasty (c. 2021)
225050,Qing dynasty (c. 2021)
224897,Qing dynasty (c. 2021)
225770,Qing dynasty (c. 2021)
225434,Qing dynasty (c. 2021)
225041,Qing dynasty (c. 2021)
225030,Qing dynasty (c. 2021)
225032,Qing dynasty (c. 2021)
225519,Qing dynasty (c. 2021)
225878,Qing dynasty (c. 2021)
225035,Qing dynasty (c. 2021)
225967,Qing dynasty (c. 2021)
225034,Qing dynasty (c. 2021)
225754,Qing dynasty (c. 2021)
225753,Qing dynasty (c. 2021)
225804,Qing dynasty (c. 2021)
226911,Qing dynasty (c. 2021)
226913,Qing dynasty (c. 2021)
226956,Qing dynasty (c. 2021)
226914,Qing dynasty (c. 2021)
224946,Qing dynasty (c. 2021)
225470,Qing dynasty (c. 2021)
227519,Qing dynasty (c. 2021)
225879,Qing dynasty (c. 2021)
224995,Qing dynasty (c. 2021)
225866,Qing dynasty (c. 2021)
225282,Qing dynasty (c. 2021)
224802,Qing dynasty (c. 2020)
224876,Qing dynasty (c. 2020)
224940,Qing dynasty (c. 2020)
224801,Qing dynasty (c. 2020)
225027,Qing dynasty (c. 2020)
224805,Qing dynasty (c. 2020)
224873,Qing dynasty (c. 2020)
224869,Qing dynasty (c. 2020)
225052,Qing dynasty (c. 2020)
224875,Qing dynasty (c. 2020)
225047,Qing dynasty (c. 2020)
224930,Qing dynasty (c. 2020)
224894,Qing dynasty (c. 2020)
224877,Qing dynasty (c. 2020)
225733,Qing dynasty (c. 2020)
225755,Qing dynasty (c. 2020)
224878,Qing dynasty (c. 2020)
225859,Qing dynasty (c. 2020)
224994,Qing dynasty (c. 2020)
225752,Qing dynasty (c. 2020)
225880,Qing dynasty (c. 2020)
224881,Qing dynasty (c. 2020)
224939,Qing dynasty (c. 2020)
226550,Qing dynasty (c. 2020)
226058,Qing dynasty (c. 2020)
226649,Qing dynasty (c. 2020)
226647,Qing dynasty (c. 2020)
226646,Qing dynasty (c. 2020)
226642,Qing dynasty (c. 2020)
226643,Qing dynasty (c. 2020)
226645,Qing dynasty (c. 2020)
226648,Qing dynasty (c. 2020)
226644,Qing dynasty (c. 2020)
226670,Qing dynasty (1644-1912)
226915,Qing dynasty (c. 2020)
226917,Qing dynasty (c. 2020)
226916,Qing dynasty (c. 2020)
225776,Qing dynasty (c. 2020)
224735,Qing dynasty (c. 2019)
224858,Qing dynasty (c. 2019)
217135,Qing dynasty (c. 2019)
224724,Qing dynasty (c. 2019)
225155,Qing dynasty (c. 2019)
224874,Qing dynasty (c. 2019)
224796,Qing dynasty (c. 2019)
224712,Qing dynasty (c. 2019)
224896,Qing dynasty (c. 2019)
224859,Qing dynasty (c. 2019)
224734,Qing dynasty (c. 2019)
224730,Qing dynasty (c. 2019)
224879,Qing dynasty (c. 2019)
224871,Qing dynasty (c. 2019)
224464,Qing dynasty (c. 2019)
224867,Qing dynasty (c. 2019)
224794,Qing dynasty (c. 2019)
224452,Qing dynasty (c. 2019)
225037,Qing dynasty (c. 2019)
225129,Qing dynasty (c. 2019)
225128,Qing dynasty (c. 2019)
225487,Qing dynasty (c. 2019)
225743,Qing dynasty (c. 2019)
226385,Qing dynasty (c. 2019)
226486,Qing dynasty (1644-1912)
225029,Qing dynasty (c. 2019)
224795,Qing dynasty (c. 2019)
224857,Qing dynasty (c. 2019)
226187,Qing dynasty (c. 2019)
226951,Qing dynasty (c. 2019)
226950,Qing dynasty (c. 2019)
224321,Qing dynasty (c. 2018)
224799,Qing dynasty (c. 2018)
224425,Qing dynasty (c. 2018)
224304,Qing dynasty (c. 2018)
224671,Qing dynasty (c. 2018)
224550,Qing dynasty (c. 2018)
224733,Qing dynasty (c. 2018)
224500,Qing dynasty (c. 2018)
224275,Qing dynasty (c. 2018)
224322,Qing dynasty (c. 2018)
224868,Qing dynasty (c. 2018)
224554,Qing dynasty (c. 2018)
226115,Qing dynasty (1644-1912)
226166,Qing dynasty (1644-1912)
226136,Qing dynasty (1644-1912)
226170,Qing dynasty (1644-1912)
226168,Qing dynasty (1644-1912)
226184,Qing dynasty (1644-1912)
226155,Qing dynasty (1644-1912)
226131,Qing dynasty (1644-1912)
226165,Qing dynasty (1644-1912)
226137,Qing dynasty (1644-1912)
226124,Qing dynasty (1644-1912)
226125,Qing dynasty (1644-1912)
226133,Qing dynasty (1644-1912)
226148,Qing dynasty (1644-1912)
226162,Qing dynasty (1644-1912)
226157,Qing dynasty (1644-1912)
226120,Qing dynasty (1644-1912)
226177,Qing dynasty (1644-1912)
226176,Qing dynasty (1644-1912)
226146,Qing dynasty (1644-1912)
226145,Qing dynasty (1644-1912)
226156,Qing dynasty (1644-1912)
226173,Qing dynasty (1644-1912)
226172,Qing dynasty (1644-1912)
226163,Qing dynasty (1644-1912)
226135,Qing dynasty (1644-1912)
226179,Qing dynasty (1644-1912)
226144,Qing dynasty (1644-1912)
226149,Qing dynasty (1644-1912)
226116,Qing dynasty (1644-1912)
226113,Qing dynasty (1644-1912)
226129,Qing dynasty (1644-1912)
226139,Qing dynasty (1644-1912)
226153,Qing dynasty (1644-1912)
226171,Qing dynasty (1644-1912)
226119,Qing dynasty (1644-1912)
226167,Qing dynasty (1644-1912)
226161,Qing dynasty (1644-1912)
226147,Qing dynasty (1644-1912)
226183,Qing dynasty (1644-1912)
226121,Qing dynasty (1644-1912)
224767,Qing dynasty (c. 2018)
224725,Qing dynasty (c. 2018)
224728,Qing dynasty (c. 2018)
224327,Qing dynasty (c. 2018)
226151,Qing dynasty (1644-1912)
226182,Qing dynasty (1644-1912)
226140,Qing dynasty (1644-1912)
226117,Qing dynasty (1644-1912)
226141,Qing dynasty (1644-1912)
226152,Qing dynasty (1644-1912)
226132,Qing dynasty (1644-1912)
226186,Qing dynasty (1644-1912)
226114,Qing dynasty (1644-1912)
226169,Qing dynasty (1644-1912)
226118,Qing dynasty (1644-1912)
226123,Qing dynasty (1644-1912)
226185,Qing dynasty (1644-1912)
226160,Qing dynasty (1644-1912)
226181,Qing dynasty (1644-1912)
226142,Qing dynasty (1644-1912)
226122,Qing dynasty (1644-1912)
226158,Qing dynasty (1644-1912)
224552,Qing dynasty (c. 2018)
224453,Qing dynasty (c. 2018)
224719,Qing dynasty (c. 2018)
224299,Qing dynasty (c. 2017)
224612,Qing dynasty (c. 2017)
224289,Qing dynasty (c. 2017)
224670,Qing dynasty (c. 2017)
224738,Qing dynasty (c. 2017)
224872,Qing dynasty (c. 2017)
224713,Qing dynasty (c. 2017)
225036,Qing dynasty (c. 2017)
224276,Qing dynasty (c. 2017)
224323,Qing dynasty (c. 2017)
224263,Qing dynasty (c. 2017)
224732,Qing dynasty (c. 2017)
224311,Qing dynasty (c. 2017)
225741,Qing dynasty (c. 2017)
224553,Qing dynasty (c. 2017)
224267,Qing dynasty (c. 2017)
224061,Qing dynasty (c. 2017)
226056,Qing dynasty (c. 2017)
224167,Qing dynasty (c. 2017)
224165,Qing dynasty (c. 2017)
224160,Qing dynasty (c. 2017)
224164,Qing dynasty (c. 2017)
224166,Qing dynasty (c. 2017)
224442,Qing dynasty (c. 2017)
226788,Qing dynasty (c. 2017)
225154,Qing dynasty (c. 2017)
224454,Qing dynasty (c. 2017)
226949,Qing dynasty (c. 2017)
226918,Qing dynasty (c. 2017)
226919,Qing dynasty (c. 2017)
227515,Qing dynasty (c. 2017)
227534,Qing dynasty (c. 2017)
227535,Qing dynasty (c. 2017)
224273,Qing dynasty (c. 2017)
226697,Qing dynasty (c. 2017)
225885,Qing dynasty (c. 2017)
225884,Qing dynasty (c. 2017)
225868,Qing dynasty (c. 2017)
225886,Qing dynasty (c. 2017)
225883,Qing dynasty (c. 2017)
222655,Qing dynasty (c. 2016)
224435,Qing dynasty (c. 2018)
222612,Qing dynasty (c. 2016)
224433,Qing dynasty (c. 2018)
222683,Qing dynasty (c. 2016)
222658,Qing dynasty (c. 2016)
222585,Qing dynasty (c. 2016)
222627,Qing dynasty (c. 2016)
222592,Qing dynasty (c. 2016)
222619,Qing dynasty (c. 2016)
222635,Qing dynasty (c. 2016)
222638,Qing dynasty (c. 2016)
222552,Qing dynasty (c. 2016)
222593,Qing dynasty (c. 2016)
222653,Qing dynasty (c. 2016)
222609,Qing dynasty (c. 2016)
222574,Qing dynasty (c. 2016)
222606,Qing dynasty (c. 2016)
222563,Qing dynasty (c. 2016)
222576,Qing dynasty (c. 2016)
222587,Qing dynasty (c. 2016)
222604,Qing dynasty (c. 2016)
223226,Qing dynasty (c. 2016)
222557,Qing dynasty (c. 2016)
222634,Qing dynasty (c. 2016)
224669,Qing dynasty (c. 2016)
222578,Qing dynasty (c. 2016)
222559,Qing dynasty (c. 2016)
222595,Qing dynasty (c. 2016)
222569,Qing dynasty (c. 2016)
222674,Qing dynasty (c. 2016)
222549,Qing dynasty (c. 2016)
222665,Qing dynasty (c. 2016)
222620,Qing dynasty (c. 2016)
222602,Qing dynasty (c. 2016)
222611,Qing dynasty (c. 2016)
222580,Qing dynasty (c. 2016)
222594,Qing dynasty (c. 2016)
222586,Qing dynasty (c. 2016)
222583,Qing dynasty (c. 2016)
222636,Qing dynasty (c. 2016)
222584,Qing dynasty (c. 2016)
222618,Qing dynasty (c. 2016)
222591,Qing dynasty (c. 2016)
222562,Qing dynasty (c. 2016)
222551,Qing dynasty (c. 2016)
222566,Qing dynasty (c. 2016)
222623,Qing dynasty (c. 2016)
222590,Qing dynasty (c. 2016)
