object_id,title,description,dimensions,accession_number,detail_url,image_url,aligned_period,aligned_type,aligned_material,data_quality_score
69399,"Pebbly Beach, Point Lobos State Park, California",,,x1980-2596,https://artmuseum.princeton.edu/art/collections/69399,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA03674,Qing dynasty (c. 1951),Unknown,Silver,0.65
69397,"Seal Rocks, Point Lobos State Park, California",,,x1980-2588,https://artmuseum.princeton.edu/art/collections/69397,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA03677,Qing dynasty (c. 1951),Unknown,Silver,0.65
69395,"Cypress Grove Trail, Point Lobos State Park, California",,,x1980-2584,https://artmuseum.princeton.edu/art/collections/69395,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA03684,Qing dynasty (c. 1951),Unknown,Silver,0.65
69390,"Front Street, San Francisco",,,x1980-2572,https://artmuseum.princeton.edu/art/collections/69390,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA03660,Qing dynasty (c. 1951),Unknown,Silver,0.65
69381,"Resurrection (Peeled Paint on Window, Jackson Street, Produce Area, San Francisco)",,,x1980-2542,https://artmuseum.princeton.edu/art/collections/69381,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA03655,Qing dynasty (c. 1951),Unknown,Silver,0.65
69379,"Clark Street, San Francisco",,,x1980-2539,https://artmuseum.princeton.edu/art/collections/69379,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA03638,Qing dynasty (c. 1951),Unknown,Silver,0.65
69373,"Potrero Hill, San Francisco",,,x1980-2522,https://artmuseum.princeton.edu/art/collections/69373,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA03642,Qing dynasty (c. 1951),Unknown,Silver,0.65
69362,San Francisco,,,x1980-2953,https://artmuseum.princeton.edu/art/collections/69362,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA03602,Qing dynasty (c. 1952),Unknown,Silver,0.65
69344,San Francisco,,,x1980-2934,https://artmuseum.princeton.edu/art/collections/69344,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA03566,Qing dynasty (c. 1952),Unknown,Silver,0.65
69342,San Francisco,,,x1980-2932,https://artmuseum.princeton.edu/art/collections/69342,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA03570,Qing dynasty (c. 1952),Unknown,Silver,0.65
